
Rk,Games,Flag Bearer,Participants,Men,Women,Sports,Gold,Silver,Bronze,Total,Top Medalist(s)
1,2014 Winter,Marvin Dixon,2,2,0,1,,,,,
2,2012 Summer,Usain Bolt,45,23,22,4,4,4,4,12,3 athletes with 3 medals
3,2010 Winter,Errol Kerr,1,1,0,1,,,,,
4,2008 Summer,Veronica Campbell-Brown,50,23,27,4,6,3,2,11,Usain Bolt (3 medals)
5,2004 Summer,Sandie Richards,47,22,25,4,2,1,2,5,Veronica Campbell-Brown (3 medals)
6,2002 Winter,Winston Watts,2,2,0,1,,,,,
7,2000 Summer,Deon Hemmings,48,22,26,4,,6,3,9,6 athletes with 2 medals
8,1998 Winter,Ricky McIntosh,6,6,0,1,,,,,
9,1996 Summer,Juliet Cuthbert,46,27,19,5,1,3,2,6,Merlene Ottey-Page (3 medals)
10,1994 Winter,Chris Stokes,4,4,0,1,,,,,
11,1992 Summer,Merlene Ottey-Page,36,22,14,5,,3,1,4,Juliet Cuthbert (2 medals)
12,1992 Winter,Dudley Stokes,5,5,0,1,,,,,
13,1988 Summer,Merlene Ottey-Page,35,24,11,5,,2,,2,7 athletes with 1 medal
14,1988 Winter,Dudley Stokes,4,4,0,1,,,,,
15,1984 Summer,Bert Cameron,45,31,13,5,,1,2,3,Merlene Ottey-Page (2 medals)
16,1980 Summer,,18,11,7,2,,,3,3,3 athletes with 1 medal
17,1976 Summer,,20,11,9,3,1,1,,2,Don Quarrie (2 medals)
18,1972 Summer,Lennox Miller,33,21,12,6,,,1,1,Lennox Miller (1 medal)
19,1968 Summer,,25,20,5,5,,1,,1,Lennox Miller (1 medal)
20,1964 Summer,,21,17,4,4,,,,,
21,1956 Summer,,6,6,0,1,,,,,
22,1952 Summer,Arthur Wint,8,6,2,2,2,3,,5,Herb McKenley (3 medals)
23,1948 Summer,,13,9,4,3,1,2,,3,Arthur Wint (2 medals)
