
Rk,Games,Flag Bearer,Participants,Men,Women,Sports,Gold,Silver,Bronze,Total,Top Medalist(s)
1,2014 Winter,Ayumi Onodera-Ogasawara,111,48,63,15,1,4,3,8,Noriaki Kasai (2 medals)
2,2012 Summer,Saori Yoshida,291,136,155,29,7,14,17,38,3 athletes with 3 medals
3,2010 Winter,Tomomi Okazaki,91,48,43,14,,3,2,5,7 athletes with 1 medal
4,2008 Summer,Ai Fukuhara,332,167,165,31,9,6,10,25,Kosuke Kitajima (3 medals)
5,2006 Winter,Joji Kato,110,58,52,14,1,,,1,Shizuka Arakawa (1 medal)
6,2004 Summer,Kyoko Hamaguchi,306,139,167,31,16,9,12,37,Kosuke Kitajima (3 medals)
7,2002 Winter,Eriko Sanmiya,103,59,44,14,,1,1,2,Tae Satoya and Hiroyasu Shimizu (1 medal)
8,2000 Summer,Kosei Inoue,266,156,110,28,5,8,5,18,3 athletes with 2 medals
9,1998 Winter,Hiroyasu Shimizu,156,92,64,14,5,1,4,10,Kazuyoshi Funaki (3 medals)
10,1996 Summer,Ryoko Tamura-Tani,307,157,150,27,3,6,5,14,42 athletes with 1 medal
11,1994 Winter,Reiichi Mikata,59,43,16,11,1,2,2,5,Takanori Kono (2 medals)
12,1992 Summer,Kumi Nakada,256,175,81,24,3,8,11,22,3 athletes with 2 medals
13,1992 Winter,Tsutomu Kawasaki,60,40,20,11,1,2,4,7,12 athletes with 1 medal
14,1988 Summer,Mikako Kotani,255,186,69,23,4,3,7,14,Yukio Iketani and Mikako Kotani (2 medals)
15,1988 Winter,Seiko Hashimoto,48,37,11,9,,,1,1,Akira Kuroiwa (1 medal)
16,1984 Summer,Shigenobu Murofushi,226,174,52,22,10,8,14,32,Koji Gushiken (5 medals)
17,1984 Winter,Tadayuki Takahashi,39,32,7,9,,1,,1,Yoshihiro Kitazawa (1 medal)
18,1980 Winter,Herb Wakabayashi,50,46,4,10,,1,,1,Hirokazu Yagi (1 medal)
19,1976 Summer,Katsutoshi Mekota,213,153,60,20,9,6,10,25,Mitsuo Tsukahara (5 medals)
20,1976 Winter,Masaki Suzuki,58,50,8,10,,,,,
21,1972 Summer,Masatoshi Shinomaki,184,148,36,21,13,8,8,29,Sawao Kato (5 medals)
22,1972 Winter,Mineyuki Mashiko,85,65,20,10,1,1,1,3,3 athletes with 1 medal
23,1968 Summer,Yukio Endo,171,146,25,18,11,7,7,25,Akinori Nakayama (6 medals)
24,1968 Winter,Takaaki Kaneiri,61,52,9,8,,,,,
25,1964 Summer,Makoto Fukui,328,270,58,21,16,5,8,29,Yukio Endo and Shuji Tsurumi (4 medals)
26,1964 Winter,Sadao Kikuchi,47,41,6,8,,,,,
27,1960 Summer,Takashi Ono,162,142,20,17,4,7,7,18,Takashi Ono (6 medals)
28,1960 Winter,Junko Ueno,41,36,5,7,,,,,
29,1956 Summer,Shozo Sasahara,110,94,16,13,4,10,5,19,Takashi Ono (5 medals)
30,1956 Winter,Hiroshi Yoshizawa,10,10,0,5,,1,,1,Chiharu Igaya (1 medal)
31,1956 Equestrian,Kunihiro Ohta,2,2,0,1,,,,,
32,1952 Summer,Bunkichi Sawada,69,58,11,13,1,6,2,9,Tadao Uesako and Hiroshi Suzuki (2 medals)
33,1952 Winter,,13,13,0,5,,,,,
34,1936 Summer,Kenkichi Oshima,220,201,19,14,6,4,10,20,4 athletes with 2 medals
35,1936 Winter,Kazuyoshi Oimatsu,31,30,1,7,,,,,
36,1932 Summer,Mikio Oda,157,139,18,11,7,7,4,18,Yasuji Miyazaki and Chuhei Nanbu (2 medals)
37,1932 Winter,,16,16,0,5,,,,,
38,1928 Summer,Yonetaro Nakazawa,40,39,1,7,2,2,1,5,Katsuo Takaishi (2 medals)
39,1928 Winter,Subaru Takahashi,6,6,0,3,,,,,
40,1924 Summer,,19,19,0,4,,,1,1,Katsutoshi Naito (1 medal)
41,1920 Summer,,15,15,0,4,,2,,2,Ichiya Kumagae (2 medals)
42,1912 Summer,Yahiko Mishima,2,2,0,1,,,,,
