
Rk,Games,Flag Bearer,Participants,Men,Women,Sports,Gold,Silver,Bronze,Total,Top Medalist(s)
1,2014 Winter,Yerdos Akhmadiyev,50,34,16,10,,,1,1,Denis Ten (1 medal)
2,2012 Summer,Nurmakhan Tynaliyev,113,73,40,19,7,1,5,13,13 athletes with 1 medal
3,2010 Winter,Dias Keneshev,37,21,16,8,,1,,1,Yelena Khrustalyova (1 medal)
4,2008 Summer,Bakhyt Akhmetov,130,60,70,19,2,4,7,13,13 athletes with 1 medal
5,2006 Winter,Aleksandr Koreshkov,55,43,12,7,,,,,
6,2004 Summer,Askhat Zhitkeyev,114,71,43,17,1,4,3,8,8 athletes with 1 medal
7,2002 Winter,Radik Bikchentayev,50,20,30,7,,,,,
8,2000 Summer,Yermakhan Ibraimov,130,86,44,17,3,4,,7,7 athletes with 1 medal
9,1998 Winter,Vladimir Smirnov,60,45,15,8,,,2,2,Lyudmila Prokashova and Vladimir Smirnov (1 medal)
10,1996 Summer,Yermakhan Ibraimov,96,72,24,14,3,4,4,11,Sergey Belyayev (2 medals)
11,1994 Winter,Kayrat Biekenov,29,19,10,8,1,2,,3,Vladimir Smirnov (3 medals)
