
Rk,Games,Flag Bearer,Participants,Men,Women,Sports,Gold,Silver,Bronze,Total,Top Medalist(s)
1,2012 Summer,Jason Dunford,47,27,20,4,2,4,5,11,Vivian Cheruiyot (2 medals)
2,2008 Summer,Grace Kwamboka Momanyi,46,28,18,5,6,4,4,14,14 athletes with 1 medal
3,2006 Winter,Philip Boit,1,1,0,1,,,,,
4,2004 Summer,Violet Barasa,46,22,24,4,1,4,2,7,7 athletes with 1 medal
5,2002 Winter,Philip Boit,1,1,0,1,,,,,
6,2000 Summer,Kennedy Ochieng,56,34,22,6,2,3,2,7,7 athletes with 1 medal
7,1998 Winter,Philip Boit,1,1,0,1,,,,,
8,1996 Summer,Paul Tergat,52,42,10,5,1,4,3,8,8 athletes with 1 medal
9,1992 Summer,Patrick Sang,49,40,9,5,2,4,2,8,8 athletes with 1 medal
10,1988 Summer,Patrick Waweru,74,70,4,7,5,2,2,9,9 athletes with 1 medal
11,1984 Summer,James Omondi,61,56,5,5,1,,2,3,3 athletes with 1 medal
12,1972 Summer,Kip Keino,57,55,2,4,2,3,4,9,Kip Keino and Julius Sang (2 medals)
13,1968 Summer,,39,36,3,4,3,4,2,9,Kip Keino and Naftali Temu (2 medals)
14,1964 Summer,Seraphino Antao,37,37,0,5,,,1,1,Wilson Kiprugut (1 medal)
15,1960 Summer,,27,27,0,4,,,,,
16,1956 Summer,,25,24,1,4,,,,,
