
Rk,Games,Flag Bearer,Participants,Men,Women,Sports,Gold,Silver,Bronze,Total,Top Medalist(s)
1,2014 Winter,Dmitry Trelevsky,1,1,0,1,,,,,
2,2012 Summer,Chingiz Mamedov,14,11,3,8,,,,,
3,2010 Winter,Dmitry Trelevsky,2,1,1,2,,,,,
4,2008 Summer,Talant Dzhanagulov,20,16,4,9,,1,1,2,Kanat Begaliyev and Ruslan Tyumenbayev (1 medal)
5,2006 Winter,Ivan Borisov,1,1,0,1,,,,,
6,2004 Summer,Mital Sharipov,29,22,7,9,,,,,
7,2002 Winter,Dmitry Chvykov,2,2,0,2,,,,,
8,2000 Summer,Raatbek Sanatbayev,48,35,13,9,,,1,1,Aydyn Smagulov (1 medal)
9,1998 Winter,Aleksandr Tropnikov,1,1,0,1,,,,,
10,1996 Summer,Sergey Ashikhmin,33,26,7,9,,,,,
11,1994 Winter,Yevgeniya Roppel,1,0,1,1,,,,,
