
Rk,Games,Flag Bearer,Participants,Men,Women,Sports,Gold,Silver,Bronze,Total,Top Medalist(s)
1,2012 Summer,Sultan Mubarak Al-Dawoodi,18,16,2,5,,,1,1,4 athletes with 1 medal
2,2008 Summer,Mohammed Khuwalidi,14,14,0,4,,,,,
3,2004 Summer,Hadi Soua'an Al-Somaily,16,16,0,6,,,,,
4,2000 Summer,Khaled Al-Dosari,18,18,0,5,,1,1,2,Khaled Al-Eid and Hadi Soua'an Al-Somaily (1 medal)
5,1996 Summer,Khaled Al-Khalidi,29,29,0,5,,,,,
6,1992 Summer,,9,9,0,5,,,,,
7,1988 Summer,Salah Al-Mar,9,9,0,3,,,,,
8,1984 Summer,Safaq Al-Anzi,37,37,0,5,,,,,
9,1976 Summer,,14,14,0,1,,,,,
10,1972 Summer,Bilal Said Al-Azma,10,10,0,1,,,,,
