
Rk,Games,Flag Bearer,Participants,Men,Women,Sports,Gold,Silver,Bronze,Total,Top Medalist(s)
1,2012 Summer,Fehaid Al-Deehani,10,8,2,4,,,1,1,Fehaid Al-Deehani (1 medal)
2,2008 Summer,Abdullah Al-Rashidi,8,8,0,5,,,,,
3,2004 Summer,Fehaid Al-Deehani,11,10,1,3,,,,,
4,2000 Summer,Fawzi Al-Shammari,29,29,0,6,,,1,1,Fehaid Al-Deehani (1 medal)
5,1996 Summer,Abdullah Al-Rashidi,25,25,0,9,,,,,
6,1992 Summer,,32,32,0,7,,,,,
7,1988 Summer,Jasem Al-Dowaila,25,25,0,7,,,,,
8,1984 Summer,Tareq Al-Ghareeb,23,23,0,5,,,,,
9,1980 Summer,,56,56,0,7,,,,,
10,1976 Summer,,15,15,0,4,,,,,
11,1972 Summer,Younis Abdallah,4,4,0,2,,,,,
12,1968 Summer,,2,2,0,1,,,,,
