
Rk,Games,Flag Bearer,Participants,Men,Women,Sports,Gold,Silver,Bronze,Total,Top Medalist(s)
1,2014 Winter,Sandis Ozoliņš,56,49,7,9,,2,2,4,Andris Šics and Juris Šics (2 medals)
2,2012 Summer,Mārtiņš Pļaviņš,45,31,14,12,1,,1,2,3 athletes with 1 medal
3,2010 Winter,Mārtiņš Dukurs,53,44,9,9,,2,,2,3 athletes with 1 medal
4,2008 Summer,Vadims Vasiļevskis,47,29,18,11,1,1,1,3,3 athletes with 1 medal
5,2006 Winter,Artūrs Irbe,57,49,8,8,,,1,1,Mārtiņš Rubenis (1 medal)
6,2004 Summer,Vadims Vasiļevskis,32,22,10,11,,4,,4,4 athletes with 1 medal
7,2002 Winter,Harijs Vītoliņš,47,42,5,8,,,,,
8,2000 Summer,Voldemārs Lūsis,45,30,15,13,1,1,1,3,3 athletes with 1 medal
9,1998 Winter,Sandis Prūsis,29,21,8,6,,,,,
10,1996 Summer,Einārs Tupurītis,47,34,13,12,,1,,1,Ivans Klementjevs (1 medal)
11,1994 Winter,Zintis Ekmanis,27,20,7,6,,,,,
12,1992 Summer,Raimonds Bergmanis,34,25,9,13,,2,1,3,3 athletes with 1 medal
13,1992 Winter,Jānis Ķipurs,23,19,4,6,,,,,
14,1936 Summer,Haralds Marvē,29,29,0,6,,1,1,2,Edvīns Bietags and Adalberts Bubenko (1 medal)
15,1936 Winter,Leonīds Vedējs,26,23,3,6,,,,,
16,1932 Summer,Jānis Dimza,5,5,0,2,,1,,1,Jānis Dāliņš (1 medal)
17,1928 Summer,Alberts Zvejnieks,17,15,2,6,,,,,
18,1928 Winter,Alberts Rumba,1,1,0,1,,,,,
19,1924 Summer,Arvīds Ķibilds,36,36,0,6,,,,,
20,1924 Winter,Roberts Plūme,2,2,0,2,,,,,
