
Rk,Games,Flag Bearer,Participants,Men,Women,Sports,Gold,Silver,Bronze,Total,Top Medalist(s)
1,2012 Summer,Phobay Kutu-Akoi,3,1,2,1,,,,,
2,2008 Summer,Jangy Addy,3,2,1,1,,,,,
3,2004 Summer,Gladys Thompson,2,1,1,1,,,,,
4,2000 Summer,Kouty Mawenh,8,6,2,1,,,,,
5,1996 Summer,Kouty Mawenh,5,4,1,1,,,,,
6,1988 Summer,Samuel Birch,8,7,1,2,,,,,
7,1984 Summer,Wallace Obey,7,6,1,1,,,,,
8,1972 Summer,Thomas Howe,5,5,0,1,,,,,
9,1964 Summer,,1,1,0,1,,,,,
10,1960 Summer,,4,4,0,1,,,,,
11,1956 Summer,,4,4,0,1,,,,,
