
Rk,Games,Flag Bearer,Participants,Men,Women,Sports,Gold,Silver,Bronze,Total,Top Medalist(s)
1,2014 Winter,Alex Mohbat,2,1,1,1,,,,,
2,2012 Summer,Andrea Paoli,10,3,7,7,,,,,
3,2010 Winter,Chirine Njeim,3,1,2,1,,,,,
4,2008 Summer,Ziad Richa,6,4,2,4,,,,,
5,2006 Winter,Edmond Keyrouz,3,2,1,2,,,,,
6,2004 Summer,Jean-Claude Rabbath,5,3,2,3,,,,,
7,2002 Winter,Chirine Njeim,2,1,1,1,,,,,
8,2000 Summer,Jean-Claude Rabbath,6,4,2,4,,,,,
9,1996 Summer,Mohamed Al-Aywan,1,0,1,1,,,,,
10,1992 Summer,,12,12,0,7,,,,,
11,1992 Winter,,4,4,0,1,,,,,
12,1988 Summer,,21,19,2,8,,,,,
13,1988 Winter,Michel Samen,4,4,0,1,,,,,
14,1984 Summer,Toni Khouri,22,21,1,9,,,,,
15,1984 Winter,,4,4,0,1,,,,,
16,1980 Summer,,15,15,0,8,,,1,1,Hassan Bechara (1 medal)
17,1980 Winter,Edward Samen,3,2,1,1,,,,,
18,1976 Summer,,3,3,0,3,,,,,
19,1976 Winter,,1,0,1,1,,,,,
20,1972 Summer,,19,17,2,9,,1,,1,Mohamed Kheir Tarabulsi (1 medal)
21,1972 Winter,,1,1,0,1,,,,,
22,1968 Summer,,11,11,0,6,,,,,
23,1968 Winter,,3,3,0,1,,,,,
24,1964 Summer,,5,5,0,2,,,,,
25,1964 Winter,,4,4,0,1,,,,,
26,1960 Summer,,19,19,0,6,,,,,
27,1960 Winter,,2,2,0,1,,,,,
28,1956 Winter,,3,3,0,2,,,,,
29,1952 Summer,,9,9,0,4,,1,1,2,Zakaria Chihab and Khalil Taha (1 medal)
30,1952 Winter,,1,1,0,1,,,,,
31,1948 Summer,,8,8,0,3,,,,,
32,1948 Winter,,2,2,0,1,,,,,
