
Rk,Games,Flag Bearer,Participants,Men,Women,Sports,Gold,Silver,Bronze,Total,Top Medalist(s)
1,2014 Winter,Tina Weirather,3,2,1,2,,,,,
2,2012 Summer,Stephanie Vogt,3,1,2,3,,,,,
3,2010 Winter,Richard Wunder,4,3,1,2,,,,,
4,2008 Summer,Marcel Tschopp,2,2,0,2,,,,,
5,2006 Winter,Jessica Walter,5,3,2,2,,,,,
6,2004 Summer,Oliver Geissmann,1,1,0,1,,,,,
7,2002 Winter,Marco Büchel,8,7,1,2,,,,,
8,2000 Summer,Oliver Geissmann,2,1,1,2,,,,,
9,1998 Winter,Tamara Schädler,8,5,3,2,,,,,
10,1996 Summer,Birgit Blum,2,0,2,2,,,,,
11,1994 Winter,Markus Hasler,10,9,1,3,,,,,
12,1992 Summer,Manuela Marxer,7,4,3,4,,,,,
13,1992 Winter,Birgit Heeb-Batliner,7,6,1,2,,,,,
14,1988 Summer,Yvonne Elkuch,12,9,3,5,,,,,
15,1988 Winter,Andi Wenzel,13,11,2,3,,,1,1,Paul Frommelt (1 medal)
16,1984 Summer,Manuela Marxer,7,5,2,3,,,,,
17,1984 Winter,Günther Marxer,10,7,3,3,,,2,2,Ursula Konzett and Andi Wenzel (1 medal)
18,1980 Winter,Petra Wenzel,7,4,3,2,2,2,,4,Hanni Wenzel (3 medals)
19,1976 Summer,,6,4,2,2,,,,,
20,1976 Winter,Ursula Konzett,9,6,3,3,,,2,2,Hanni Wenzel and Willi Frommelt (1 medal)
21,1972 Summer,Eduard Baron von Falz-Fein,6,6,0,4,,,,,
22,1972 Winter,,4,3,1,2,,,,,
23,1968 Summer,,2,2,0,1,,,,,
24,1968 Winter,,9,8,1,2,,,,,
25,1964 Summer,Alois Büchel,2,2,0,1,,,,,
26,1964 Winter,,6,6,0,2,,,,,
27,1960 Summer,Alois Büchel,5,5,0,3,,,,,
28,1960 Winter,,3,3,0,1,,,,,
29,1956 Winter,Eduard Baron von Falz-Fein,8,8,0,2,,,,,
30,1952 Summer,,2,2,0,1,,,,,
31,1948 Summer,,2,2,0,1,,,,,
32,1948 Winter,Christof Frommelt,10,10,0,2,,,,,
33,1936 Summer,Oskar Ospelt,6,6,0,3,,,,,
34,1936 Winter,,4,4,0,2,,,,,
