
Rk,Games,Flag Bearer,Participants,Men,Women,Sports,Gold,Silver,Bronze,Total,Top Medalist(s)
1,2014 Winter,Deividas Stagniūnas,9,4,5,5,,,,,
2,2012 Summer,Virgilijus Alekna,62,39,23,14,2,1,2,5,5 athletes with 1 medal
3,2010 Winter,Irina Terentjeva,6,4,2,3,,,,,
4,2008 Summer,Šarūnas Jasikevičius,71,44,27,16,,2,3,5,5 athletes with 1 medal
5,2006 Winter,Vida Vencienė,7,4,3,4,,,,,
6,2004 Summer,Saulius Štombergas,59,47,12,13,1,2,,3,3 athletes with 1 medal
7,2002 Winter,Ričardas Panavas,8,5,3,3,,,,,
8,2000 Summer,Romas Ubartas,61,40,21,15,2,,3,5,17 athletes with 1 medal
9,1998 Winter,Povilas Vanagas,7,5,2,4,,,,,
10,1996 Summer,Raimundas Mažuolis,61,45,16,14,,,1,1,11 athletes with 1 medal
11,1994 Winter,Povilas Vanagas,6,3,3,3,,,,,
12,1992 Summer,Raimundas Mažuolis,47,36,11,11,1,,1,2,13 athletes with 1 medal
13,1992 Winter,Gintaras Jasinskas,6,3,3,3,,,,,
14,1928 Summer,,12,11,1,4,,,,,
15,1928 Winter,,1,1,0,1,,,,,
16,1924 Summer,,13,13,0,2,,,,,
