
Rk,Games,Flag Bearer,Participants,Men,Women,Sports,Gold,Silver,Bronze,Total,Top Medalist(s)
1,2014 Winter,Kari Peters,1,1,0,1,,,,,
2,2012 Summer,Marie Muller,9,5,4,7,,,,,
3,2008 Summer,Raphaël Stacchiotti,13,9,4,7,,,,,
4,2006 Winter,Fleur Maxwell,1,0,1,1,,,,,
5,2004 Summer,Claudine Schaul,10,6,4,6,,,,,
6,2000 Summer,Lara Heinz,7,2,5,4,,,,,
7,1998 Winter,Patrick Schmit,1,1,0,1,,,,,
8,1996 Summer,Anne Kremer,6,2,4,5,,,,,
9,1994 Winter,Georges Diderich,1,1,0,1,,,,,
10,1992 Summer,Yves Clausse,6,5,1,4,,,,,
11,1992 Winter,,1,1,0,1,,2,,2,Marc Girardelli (2 medals)
12,1988 Summer,Roland Jacoby,8,5,3,4,,,,,
13,1988 Winter,Armand Wagener,1,1,0,1,,,,,
14,1984 Summer,Jeannette Goergen-Philip,5,4,1,3,,,,,
15,1980 Summer,,3,3,0,3,,,,,
16,1976 Summer,Robert Schiel,8,8,0,4,,,,,
17,1972 Summer,Charel Sowa,11,10,1,5,,,,,
18,1968 Summer,Charel Sowa,5,3,2,5,,,,,
19,1964 Summer,Josy Stoffel,12,10,2,7,,,,,
20,1960 Summer,,52,47,5,10,,,,,
21,1956 Summer,René Kohn,11,10,1,5,,,,,
22,1952 Summer,Camille Wagner,44,44,0,9,1,,,1,Josy Barthel (1 medal)
23,1948 Summer,Vic Feller,45,42,3,8,,,,,
24,1936 Summer,Jean Wagner,49,48,1,10,,,,,
25,1936 Winter,,4,4,0,2,,,,,
26,1932 Summer,,3,3,0,1,,,,,
27,1928 Summer,Georges Schmit,48,46,2,10,1,,,1,Jean Jacoby (1 medal)
28,1928 Winter,Willy Heldenstein,5,5,0,1,,,,,
29,1924 Summer,Paul Hammer,48,46,2,10,1,1,,2,Frantz Heldenstein and Jean Jacoby (1 medal)
30,1920 Summer,Alex Servais,25,25,0,6,,1,,1,Jos Alzin (1 medal)
31,1912 Summer,Jean-Pierre Thommes,21,21,0,2,,,,,
32,1900 Summer,,1,1,0,1,1,,,1,Michel Théato (1 medal)
