
Rk,Games,Flag Bearer,Participants,Men,Women,Sports,Gold,Silver,Bronze,Total,Top Medalist(s)
1,2012 Summer,Fetra Ratsimiziva,7,3,4,5,,,,,
2,2008 Summer,Jean de Dieu Soloniaina,6,4,2,4,,,,,
3,2006 Winter,Mathieu Razanakolona,1,1,0,1,,,,,
4,2004 Summer,Rosa Rakotozafy,8,3,5,5,,,,,
5,2000 Summer,Joseph-Berlioz Randriamihaja,11,5,6,4,,,,,
6,1996 Summer,Dally Randriantefy,11,4,7,4,,,,,
7,1992 Summer,,13,8,5,6,,,,,
8,1984 Summer,Jean-Luc Bezoky,5,5,0,2,,,,,
9,1980 Summer,,11,8,3,4,,,,,
10,1972 Summer,Jean-Aimé Randrianalijaona,11,11,0,2,,,,,
11,1968 Summer,,4,4,0,2,,,,,
12,1964 Summer,,3,3,0,1,,,,,
