
Rk,Games,Flag Bearer,Participants,Men,Women,Sports,Gold,Silver,Bronze,Total,Top Medalist(s)
1,2014 Winter,Adam Lamhamedi,2,1,1,1,,,,,
2,2012 Summer,Wiam Dislam,63,46,17,12,,,1,1,Abdalaati Iguider (1 medal)
3,2010 Winter,Samir Azzimani,1,1,0,1,,,,,
4,2008 Summer,Abdel Kader Kada,47,36,11,7,,1,1,2,Hasna Benhassi and Jaouad Gharib (1 medal)
5,2004 Summer,Nezha Bidouane,55,47,8,9,2,1,,3,Hicham El Guerrouj (2 medals)
6,2000 Summer,Adil Bel Gaid,55,46,9,9,,1,4,5,5 athletes with 1 medal
7,1996 Summer,Khalid Skah,34,32,2,7,,,2,2,Khalid Boulami and Salah Hissou (1 medal)
8,1992 Summer,,44,43,1,7,1,1,1,3,3 athletes with 1 medal
9,1992 Winter,,12,10,2,2,,,,,
10,1988 Summer,Faouzi Lahbi,27,24,3,4,1,,2,3,3 athletes with 1 medal
11,1988 Winter,Mustapha Naitlhou,3,3,0,1,,,,,
12,1984 Summer,Lahcen Samsam Akka,34,33,1,6,2,,,2,Nawal El-Moutawakel and Saïd Aouita (1 medal)
13,1984 Winter,,4,4,0,1,,,,,
14,1976 Summer,,9,9,0,2,,,,,
15,1972 Summer,,35,33,2,5,,,,,
16,1968 Summer,,25,25,0,4,,,,,
17,1968 Winter,,5,5,0,1,,,,,
18,1964 Summer,,20,20,0,4,,,,,
19,1960 Summer,,47,47,0,10,,1,,1,Rhadi Ben Abdesselam (1 medal)
