
Rk,Games,Flag Bearer,Participants,Men,Women,Sports,Gold,Silver,Bronze,Total,Top Medalist(s)
1,2012 Summer,Pandelela Rinong,29,16,13,9,,1,1,2,Lee Chong Wei and Pandelela Rinong (1 medal)
2,2008 Summer,Mohd Azizulhasni Awang,32,18,14,10,,1,,1,Lee Chong Wei (1 medal)
3,2004 Summer,Bryan Lomas,26,18,8,11,,,,,
4,2000 Summer,Mirnawan Nawawi,40,32,8,9,,,,,
5,1996 Summer,Nor Saiful Zaini Nasir-ud-Din,35,32,3,8,,1,1,2,3 athletes with 1 medal
6,1992 Summer,Ajib Sidek Mohamed,26,26,0,6,,,1,1,Alan Sidek Mohamed and Ajib Sidek Mohamed (1 medal)
7,1988 Summer,Nordin Mohamed Jadi,9,5,4,5,,,,,
8,1984 Summer,Sabiahmad Abdullah Ahad,21,20,1,5,,,,,
9,1976 Summer,Ishtiaq Mubarak,23,23,0,5,,,,,
10,1972 Summer,Mohamed Bakar,45,42,3,6,,,,,
11,1968 Summer,Nashatar Singh Sidhu,31,31,0,4,,,,,
12,1964 Summer,Kuda Ditta,61,57,4,10,,,,,
