
Rk,Games,Flag Bearer,Participants,Men,Women,Sports,Gold,Silver,Bronze,Total,Top Medalist(s)
1,2014 Winter,Victor Pînzaru,4,3,1,4,,,,,
2,2012 Summer,Dan Olaru,20,12,8,9,,,2,2,Cristina Iovu and Anatolii Cîrîcu (1 medal)
3,2010 Winter,Victor Pînzaru,7,5,2,4,,,,,
4,2008 Summer,Nicolai Ceban,29,21,8,8,,,1,1,Vaeceslav Gojan (1 medal)
5,2006 Winter,Natalia Levcencova,6,3,3,3,,,,,
6,2004 Summer,Oleg Moldovan,33,26,7,8,,,,,
7,2002 Winter,Ion Bucsa,5,3,2,3,,,,,
8,2000 Summer,Vadim Vacarciuc,34,29,5,7,,1,1,2,Oleg Moldovan and Vitalie Gruşac (1 medal)
9,1998 Winter,Ion Bucsa,2,1,1,1,,,,,
10,1996 Summer,Vadim Vacarciuc,40,35,5,10,,1,1,2,3 athletes with 1 medal
11,1994 Winter,Vasily Gherghy,2,1,1,1,,,,,
