
Rk,Games,Flag Bearer,Participants,Men,Women,Sports,Gold,Silver,Bronze,Total,Top Medalist(s)
1,2014 Winter,Hubertus von Fürstenberg-von Hohenlohe,1,1,0,1,,,,,
2,2012 Summer,María Espinoza,99,62,37,23,1,3,3,7,24 athletes with 1 medal
3,2010 Winter,Hubertus von Fürstenberg-von Hohenlohe,1,1,0,1,,,,,
4,2008 Summer,Paola Espinosa,83,43,40,23,2,,1,3,4 athletes with 1 medal
5,2004 Summer,Fernando Platas,109,59,50,20,,3,1,4,4 athletes with 1 medal
6,2002 Winter,Roberto Tamés,3,3,0,2,,,,,
7,2000 Summer,Fernando Platas,78,52,26,19,1,2,3,6,6 athletes with 1 medal
8,1996 Summer,Nancy Contreras,98,70,28,19,,,1,1,Bernardo Segura (1 medal)
9,1994 Winter,Hubertus von Fürstenberg-von Hohenlohe,1,1,0,1,,,,,
10,1992 Summer,Jesús Mena,102,76,26,18,,1,,1,Carlos Mercenario (1 medal)
11,1992 Winter,Roberto Alvárez,20,16,4,4,,,,,
12,1988 Summer,Ernesto Canto,83,66,17,17,,,2,2,Mario González and Jesús Mena (1 medal)
13,1988 Winter,Riccardo Olavarrieta,11,10,1,4,,,,,
14,1984 Summer,Ivar Sisniega,99,77,22,18,2,3,1,6,Raúl González (2 medals)
15,1984 Winter,,1,1,0,1,,,,,
16,1980 Summer,Carlos Girón,45,36,9,12,,1,3,4,Joaquín Pérez (2 medals)
17,1976 Summer,Teresa Díaz,97,92,5,17,1,,1,2,Juan Paredes and Daniel Bautista (1 medal)
18,1972 Summer,Felipe Muñoz,174,152,22,20,,1,,1,Alfonso Zamora (1 medal)
19,1968 Summer,David Bárcena,275,233,42,20,3,3,3,9,9 athletes with 1 medal
20,1964 Summer,Fidel Negrete,94,90,4,15,,,1,1,Juan Fabila (1 medal)
21,1960 Summer,Pilar Roldán,69,63,6,14,,,1,1,Juan Botella (1 medal)
22,1956 Summer,Joaquín Capilla,24,21,3,10,1,,1,2,Joaquín Capilla (2 medals)
23,1952 Summer,Joaquín Capilla,64,61,3,13,,1,,1,Joaquín Capilla (1 medal)
24,1948 Summer,Francisco Bustamente,88,81,7,14,2,1,2,5,Humberto Mariles (3 medals)
25,1936 Summer,Tirso Hernández,32,32,0,8,,,3,3,16 athletes with 1 medal
26,1932 Summer,Eugenia Escudero,73,71,2,12,,2,,2,Francisco Cabañas and Gustavo Huet (1 medal)
27,1928 Summer,Jesús Aguirre,30,30,0,6,,,,,
28,1928 Winter,,5,5,0,1,,,,,
29,1924 Summer,Alfredo B. Cuellar,15,15,0,3,,,,,
30,1900 Summer,,3,3,0,1,,,,,3 athletes with 1 medal
