
Rk,Games,Flag Bearer,Participants,Men,Women,Sports,Gold,Silver,Bronze,Total,Top Medalist(s)
1,2014 Winter,Boldyn Byambadorj,2,1,1,1,,,,,
2,2012 Summer,Bat-Ochiryn Ser-Od,29,16,13,7,,2,3,5,5 athletes with 1 medal
3,2010 Winter,Erdene-Ochiryn Ochirsüren,2,1,1,1,,,,,
4,2008 Summer,Makhgalyn Bayarjavkhlan,28,14,14,7,2,2,,4,4 athletes with 1 medal
5,2006 Winter,Khürelbaataryn Khash-Erdene,2,1,1,1,,,,,
6,2004 Summer,Damdinsürengiin Nyamkhüü,20,13,7,7,,,1,1,Khashbaataryn Tsagaanbaatar (1 medal)
7,2002 Winter,Jargalyn Erdenetülkhüür,4,3,1,2,,,,,
8,2000 Summer,Badmaanyambuugiin Bat-Erdene,20,12,8,6,,,,,
9,1998 Winter,Boldyn Sansarbileg,3,3,0,2,,,,,
10,1996 Summer,Dolgorsürengiin Sumyaabazar,16,12,4,7,,,1,1,Dorjpalamyn Narmandakh (1 medal)
11,1994 Winter,Batchuluuny Bat–Orgil,1,1,0,1,,,,,
12,1992 Summer,Badmaanyambuugiin Bat-Erdene,33,27,6,8,,,2,2,Namjilyn Bayarsaikhan and Munkhbayar Dorjsuren (1 medal)
13,1992 Winter,Ziitsagaany Ganbat,4,4,0,2,,,,,
14,1988 Summer,Badmaanyambuugiin Bat-Erdene,28,24,4,5,,,1,1,Nergüin Enkhbat (1 medal)
15,1988 Winter,Davaagiin Enkhee,3,2,1,1,,,,,
16,1984 Winter,Luvsandashiin Dorj,4,4,0,1,,,,,
17,1980 Summer,Zevegiin Düvchin,43,39,4,8,,2,2,4,4 athletes with 1 medal
18,1980 Winter,Luvsandashiin Dorj,3,3,0,2,,,,,
19,1976 Summer,Zevegiin Oidov,32,30,2,5,,1,,1,Zevegiin Oidov (1 medal)
20,1972 Summer,Bazarragchaagiin Jamsran,39,37,2,7,,1,,1,Khorloogiin Bayanmönkh (1 medal)
21,1972 Winter,Luvsansharavyn Tsend,4,4,0,2,,,,,
22,1968 Summer,Khorloogiin Bayanmönkh,16,12,4,4,,1,3,4,4 athletes with 1 medal
23,1968 Winter,Luvsansharavyn Tsend,7,7,0,3,,,,,
24,1964 Summer,Ch. Naydan,21,17,4,5,,,,,
25,1964 Winter,Luvsansharavyn Tsend,13,10,3,3,,,,,
