
Rk,Games,Flag Bearer,Participants,Men,Women,Sports,Gold,Silver,Bronze,Total,Top Medalist(s)
1,2014 Winter,Darko Damjanovski,3,2,1,2,,,,,
2,2012 Summer,Marko Blazhevski,4,2,2,2,,,,,
3,2010 Winter,Antonio Ristevski,3,2,1,2,,,,,
4,2008 Summer,Atanas Nikolovski,7,5,2,5,,,,,
5,2006 Winter,Gjorgji Markovski,3,2,1,2,,,,,
6,2004 Summer,Bloago Georgievski,10,7,3,5,,,,,
7,2002 Winter,Jana Nikolovska,2,2,0,2,,,,,
8,2000 Summer,Lazar Popovski,10,6,4,5,,,1,1,Mogamed Ibragimov (1 medal)
9,1998 Winter,Gjoko Dineski,3,2,1,2,,,,,
10,1996 Summer,Vladimir Bogoevski,11,8,3,4,,,,,
