
Rk,Games,Flag Bearer,Participants,Men,Women,Sports,Gold,Silver,Bronze,Total,Top Medalist(s)
1,2012 Summer,Rahamatou Dramé,6,4,2,4,,,,,
2,2008 Summer,Daba Modibo Keita,17,3,14,4,,,,,
3,2004 Summer,Kadiatou Camara,21,19,2,4,,,,,
4,2000 Summer,Brahima Guindo,5,3,2,3,,,,,
5,1996 Summer,Monique Ross,3,1,2,1,,,,,
6,1992 Summer,,5,3,2,2,,,,,
7,1988 Summer,Mamadou Keita,6,5,1,3,,,,,
8,1984 Summer,Karamoke Kory Konte,4,4,0,3,,,,,
9,1980 Summer,,7,6,1,3,,,,,
10,1972 Summer,Namakoro Niaré,3,3,0,2,,,,,
11,1968 Summer,,2,2,0,2,,,,,
12,1964 Summer,,2,2,0,1,,,,,
