
Rk,Games,Flag Bearer,Participants,Men,Women,Sports,Gold,Silver,Bronze,Total,Top Medalist(s)
1,2014 Winter,Elise Pellegrin,1,0,1,1,,,,,
2,2012 Summer,William Chetcuti,5,3,2,3,,,,,
3,2008 Summer,Marcon Bezzina,6,3,3,4,,,,,
4,2004 Summer,William Chetcuti,7,4,3,5,,,,,
5,2000 Summer,Laurie Pace,7,4,3,5,,,,,
6,1996 Summer,Angela Galea,7,4,3,5,,,,,
7,1992 Summer,Laurie Pace,6,3,3,4,,,,,
8,1988 Summer,Joanna Agius,6,5,1,4,,,,,
9,1984 Summer,Peter Bonello,7,5,2,5,,,,,
10,1980 Summer,Frans Chetcuti,8,7,1,3,,,,,
11,1972 Summer,Joseph Grech,5,5,0,2,,,,,
12,1968 Summer,Louis Grasso,1,1,0,1,,,,,
13,1960 Summer,Christopher Dowling,10,10,0,4,,,,,
14,1948 Summer,Francis X. Zammit Cutajar,1,1,0,1,,,,,
15,1936 Summer,Godfrey Craig,11,11,0,2,,,,,
16,1928 Summer,,9,9,0,1,,,,,
