
Rk,Games,Flag Bearer,Participants,Men,Women,Sports,Gold,Silver,Bronze,Total,Top Medalist(s)
1,2014 Winter,Olivier Jenot,5,4,1,2,,,,,
2,2012 Summer,Angelique Trinquier,6,5,1,6,,,,,
3,2010 Winter,Alexandra Coletti,3,2,1,2,,,,,
4,2008 Summer,Mathias Raymond,5,4,1,5,,,,,
5,2006 Winter,Patrice Servelle,4,3,1,2,,,,,
6,2004 Summer,Sébastien Gattuso,3,2,1,3,,,,,
7,2002 Winter,Jean-François Calmes,5,5,0,1,,,,,
8,2000 Summer,Thierry Vatrican,4,3,1,4,,,,,
9,1998 Winter,Gilbert Bessi,4,4,0,1,,,,,
10,1996 Summer,Thierry Vatrican,3,2,1,3,,,,,
11,1994 Winter,Albert Prince Grimaldi,5,5,0,2,,,,,
12,1992 Summer,Christophe Verdino,2,1,1,2,,,,,
13,1992 Winter,Albert Prince Grimaldi,5,5,0,1,,,,,
14,1988 Summer,Stéphane Operto,9,8,1,7,,,,,
15,1988 Winter,Albert Prince Grimaldi,3,3,0,2,,,,,
16,1984 Summer,Jean-Luc Adorno,8,8,0,5,,,,,
17,1984 Winter,David Lajoux,1,1,0,1,,,,,
18,1976 Summer,Francis Boisson,8,8,0,3,,,,,
19,1972 Summer,Jean-Charles Seneca,5,5,0,2,,,,,
20,1968 Summer,,2,2,0,1,,,,,
21,1964 Summer,Joseph Asso,1,1,0,1,,,,,
22,1960 Summer,,11,11,0,3,,,,,
23,1952 Summer,,8,8,0,2,,,,,
24,1948 Summer,,4,4,0,1,,,,,
25,1936 Summer,,8,8,0,2,,,,,
26,1932 Summer,,1,1,0,1,,,,,
27,1928 Summer,,10,10,0,4,,,,,
28,1924 Summer,Gaston Médécin,7,7,0,4,,,1,1,Julien Médécin (1 medal)
29,1920 Summer,Edmond Médécin,4,4,0,2,,,,,
