
Rk,Games,Flag Bearer,Participants,Men,Women,Sports,Gold,Silver,Bronze,Total,Top Medalist(s)
1,2012 Summer,Thet Zaw Win,6,3,3,5,,,,,
2,2008 Summer,Phone Myint Tayzar,6,4,2,5,,,,,
3,2004 Summer,Hla Win U,2,0,2,2,,,,,
4,2000 Summer,Maung Maung Nge,7,1,6,4,,,,,
5,1996 Summer,Soe Myint,3,2,1,2,,,,,
6,1992 Summer,,4,1,3,2,,,,,
7,1988 Summer,,2,0,2,1,,,,,
8,1984 Summer,Latt Zaw,1,1,0,1,,,,,
9,1980 Summer,,2,2,0,2,,,,,
10,1972 Summer,Win Maung,18,18,0,4,,,,,
11,1968 Summer,,4,4,0,2,,,,,
12,1964 Summer,,11,11,0,5,,,,,
13,1960 Summer,,10,10,0,5,,,,,
14,1956 Summer,,11,11,0,4,,,,,
15,1952 Summer,,5,5,0,2,,,,,
16,1948 Summer,,4,4,0,3,,,,,
