
Rk,Games,Flag Bearer,Participants,Men,Women,Sports,Gold,Silver,Bronze,Total,Top Medalist(s)
1,2012 Summer,Osmar Bravo,6,3,3,4,,,,,
2,2008 Summer,Alexis Arguello,6,3,3,4,,,,,
3,2004 Summer,Svitlana Kashchenko,5,2,3,3,,,,,
4,2000 Summer,Walter Martínez,6,4,2,5,,,,,
5,1996 Summer,Walter Martínez,26,25,1,5,,,,,
6,1992 Summer,Magdiel Gutiérrez,8,7,1,6,,,,,
7,1984 Summer,Gustavo Herrera,6,5,0,3,,,,,
8,1980 Summer,Xiomara Larios,5,3,2,3,,,,,
9,1976 Summer,Frank Richardson,15,15,0,6,,,,,
10,1972 Summer,Don Vélez,8,7,1,3,,,,,
11,1968 Summer,Don Vélez,11,11,0,3,,,,,
