
Rk,Games,Flag Bearer,Participants,Men,Women,Sports,Gold,Silver,Bronze,Total,Top Medalist(s)
1,2014 Winter,Jorien ter Mors,39,20,19,4,8,7,9,24,Ireen Wüst (5 medals)
2,2012 Summer,Dorian van Rijsselberge,173,94,79,19,6,6,8,20,Ranomi Kromowidjojo (3 medals)
3,2010 Winter,Timothy Beck,32,15,17,4,4,1,3,8,Sven Kramer and Mark Tuitert (2 medals)
4,2008 Summer,Jeroen Delmeé,237,139,98,20,7,5,4,16,Anky van Grunsven (2 medals)
5,2006 Winter,Jan Bos,33,16,17,4,3,2,4,9,4 athletes with 2 medals
6,2004 Summer,Mark Huizinga,210,134,76,22,4,9,9,22,Inge de Bruijn (4 medals)
7,2002 Winter,Nicolien Sauerbreij,27,14,13,4,3,5,,8,Jochem Uytdehaage (3 medals)
8,2000 Summer,Anky van Grunsven,231,147,84,21,12,9,4,25,3 athletes with 4 medals
9,1998 Winter,Carla Zijlstra,22,10,12,3,5,4,2,11,Rintje Ritsma (3 medals)
10,1996 Summer,Nico Rienks,239,137,102,19,4,5,10,19,4 athletes with 2 medals
11,1994 Winter,Christine Aaftink,21,13,8,4,,1,3,4,Rintje Ritsma (2 medals)
12,1992 Summer,Carina Benninga,201,117,84,20,2,6,7,15,Piet Raymakers (2 medals)
13,1992 Winter,Leo Visser,19,9,10,2,1,1,2,4,Leo Visser (2 medals)
14,1988 Summer,Eric Swinkels,147,93,54,17,2,2,5,9,45 athletes with 1 medal
15,1988 Winter,Jan Ykema,11,6,5,1,3,2,2,7,Yvonne van Gennip (3 medals)
16,1984 Summer,Ton Buunk,136,82,54,15,5,2,6,13,Annemarie Verstappen (3 medals)
17,1984 Winter,Hilbert van der Duim,13,9,4,2,,,,,
18,1980 Summer,,75,57,18,10,,1,2,3,6 athletes with 1 medal
19,1980 Winter,Piet Kleine,29,25,4,2,1,2,1,4,4 athletes with 1 medal
20,1976 Summer,André Bolhuis,108,72,36,11,,2,3,5,Enith Brigitha (2 medals)
21,1976 Winter,Dianne de Leeuw,7,3,4,2,1,2,3,6,Hans van Helden (3 medals)
22,1972 Summer,Nico Spits,119,90,29,16,3,1,1,5,Wim Ruska (2 medals)
23,1972 Winter,Atje Keulen-Deelstra,11,5,6,2,4,3,2,9,Atje Keulen-Deelstra and Ard Schenk (3 medals)
24,1968 Summer,Fred van Dorp,107,82,25,11,3,3,1,7,14 athletes with 1 medal
25,1968 Winter,Stien Baas-Kaiser,9,4,5,1,3,3,3,9,3 athletes with 2 medals
26,1964 Summer,Anton Geesink,125,105,20,12,2,4,4,10,Ada Kok and Erica Terpstra (2 medals)
27,1964 Winter,Ard Schenk,6,4,2,2,1,1,,2,Sjoukje Dijkstra and Kees Verkerk (1 medal)
28,1960 Summer,Jan Willem van Erven Dorens,110,80,30,13,,1,2,3,3 athletes with 1 medal
29,1960 Winter,Kees Broekman,7,5,2,2,,1,1,2,Sjoukje Dijkstra and Jan Pesman (1 medal)
30,1956 Winter,Kees Broekman,8,6,2,2,,,,,
31,1956 Equestrian,,1,1,0,1,,,,,
32,1952 Summer,Simon de Wit,104,78,26,14,,5,,5,Hannie Termeulen (2 medals)
33,1952 Winter,Wim van der Voort,11,9,2,3,,3,,3,Kees Broekman (2 medals)
34,1948 Summer,Wim Landman,149,115,34,18,5,2,9,16,Fanny Blankers-Koen (4 medals)
35,1948 Winter,Jan Langedijk,4,4,0,1,,,,,
36,1936 Summer,Rein de Waal,165,145,20,15,6,4,7,17,Rie Mastenbroek (4 medals)
37,1936 Winter,Sam Dunlop,8,7,1,3,,,,,
38,1932 Summer,Charles Pahud de Mortanges,45,30,15,9,2,5,1,8,3 athletes with 2 medals
39,1928 Summer,Sam Olij,266,222,44,17,8,10,5,23,4 athletes with 2 medals
40,1928 Winter,Edwin Jonkheer Teixeira de Mattos,7,7,0,2,,,,,
41,1924 Summer,Arie de Jong,177,168,9,17,4,1,6,11,Adolf van der Voort van Zijp (2 medals)
42,1920 Summer,J. H. van Dijk,130,129,1,15,4,2,5,11,Piet Ikelaar and Arie de Jong (2 medals)
43,1912 Summer,Jan Ploeger,33,33,0,7,,,3,3,4 athletes with 2 medals
44,1908 Summer,Jan de Boer,113,113,0,11,,,2,2,16 athletes with 1 medal
45,1906 Summer,,16,16,0,2,,1,2,3,George van Rossem (2 medals)
46,1900 Summer,,35,35,0,7,,2,3,5,Hermanus Brockmann (3 medals)
