
Rk,Games,Flag Bearer,Participants,Men,Women,Sports,Gold,Silver,Bronze,Total,Top Medalist(s)
1,2014 Winter,Dachhiri Sherpa,1,1,0,1,,,,,
2,2012 Summer,Prasiddha Shah,5,2,3,3,,,,,
3,2010 Winter,Dachhiri Sherpa,1,1,0,1,,,,,
4,2008 Summer,Deepak Bista,8,4,4,6,,,,,
5,2006 Winter,Dachhiri Sherpa,1,1,0,1,,,,,
6,2004 Summer,Rajendra Bahadur Bhandari,6,3,3,4,,,,,
7,2002 Winter,Jay Khadka,1,1,0,1,,,,,
8,2000 Summer,Chitra Bahadur Gurung,5,2,3,3,,,,,
9,1996 Summer,Tika Bogati,6,3,3,4,,,,,
10,1992 Summer,,2,1,1,2,,,,,
11,1988 Summer,Krishna Bahadur Basnet,16,13,3,5,,,,,
12,1984 Summer,Khadga Ranabhat,10,10,0,3,,,,,
13,1980 Summer,,10,10,0,3,,,,,
14,1976 Summer,,1,1,0,1,,,,,
15,1972 Summer,Jit Bahadur Khatri Chhetri,2,2,0,1,,,,,
16,1964 Summer,Ram Prasad Gurung,6,6,0,2,,,,,
17,1924 Winter,,1,1,0,1,,,,,Tejbir Bura (1 medal)
