
Rk,Games,Flag Bearer,Participants,Men,Women,Sports,Gold,Silver,Bronze,Total,Top Medalist(s)
1,2012 Summer,Sinivie Boltic,49,30,19,8,,,,,
2,2008 Summer,Bose Kaffo,74,37,37,10,,1,3,4,23 athletes with 1 medal
3,2004 Summer,Mary Onyali-Omagbemi,70,24,46,10,,,2,2,8 athletes with 1 medal
4,2000 Summer,Sunday Bada,83,44,39,8,1,2,,3,8 athletes with 1 medal
5,1996 Summer,Mary Onyali-Omagbemi,65,49,16,9,2,1,3,6,Falilat Ogunkoya (2 medals)
6,1992 Summer,,55,32,23,8,,3,1,4,11 athletes with 1 medal
7,1988 Summer,Yusuf Alli,69,61,8,8,,,,,
8,1984 Summer,Yusuf Alli,32,30,2,4,,1,1,2,5 athletes with 1 medal
9,1980 Summer,,44,38,6,5,,,,,
10,1972 Summer,Benedict Majekodunmi,25,20,5,2,,,1,1,Isaac Ikhouria (1 medal)
11,1968 Summer,,36,31,5,3,,,,,
12,1964 Summer,,18,16,2,2,,,1,1,Nojim Maiyegun (1 medal)
13,1960 Summer,,12,12,0,2,,,,,
14,1956 Summer,,10,10,0,1,,,,,
15,1952 Summer,,9,9,0,1,,,,,
