
Rk,Games,Flag Bearer,Participants,Men,Women,Sports,Gold,Silver,Bronze,Total,Top Medalist(s)
1,2012 Summer,Moustapha Hima,6,4,2,5,,,,,
2,2008 Summer,Mohamed Alhousseini,4,2,2,2,,,,,
3,2004 Summer,Abdou Alassane Dji Bo,4,3,1,3,,,,,
4,2000 Summer,Mamane Sani Ali,4,2,2,2,,,,,
5,1996 Summer,Abdou Manzo,3,2,1,1,,,,,
6,1992 Summer,,3,3,0,1,,,,,
7,1988 Summer,Hassan Karimou,6,6,0,2,,,,,
8,1984 Summer,Boubagar Soumana,4,4,0,2,,,,,
9,1972 Summer,Issaka Daboré,4,4,0,1,,,1,1,Issaka Daboré (1 medal)
10,1968 Summer,,2,2,0,1,,,,,
11,1964 Summer,,1,1,0,1,,,,,
