
Rk,Games,Flag Bearer,Participants,Men,Women,Sports,Gold,Silver,Bronze,Total,Top Medalist(s)
1,2014 Winter,Aksel Lund Svindal,110,78,32,12,11,5,10,26,3 athletes with 3 medals
2,2012 Summer,Mira Verås Larsen,61,33,28,15,2,1,1,4,17 athletes with 1 medal
3,2010 Winter,Tommy Jakobsen,95,70,25,11,9,8,6,23,Marit Bjørgen (5 medals)
4,2008 Summer,Ruth Kasirye,84,30,54,15,3,5,1,9,22 athletes with 1 medal
5,2006 Winter,Pål Trulsen,67,46,21,10,2,8,9,19,Ole Einar Bjørndalen and Lars Bystøl (3 medals)
6,2004 Summer,Harald Stenvaag,52,35,17,12,5,,1,6,Eirik Verås Larsen (2 medals)
7,2002 Winter,Liv Grete Skjelbreid-Poirée,77,50,27,11,13,5,7,25,Ole Einar Bjørndalen (4 medals)
8,2000 Summer,Vebjørn Rodal,93,44,49,15,4,3,3,10,Knut Holmann (2 medals)
9,1998 Winter,Espen Bredesen,76,49,27,10,10,10,5,25,Bjørn Dæhlie (4 medals)
10,1996 Summer,Linda Andersen,97,42,55,16,2,2,3,7,Knut Holmann (2 medals)
11,1994 Winter,Bjørn Dæhlie,88,67,21,10,10,11,5,26,Bjørn Dæhlie (4 medals)
12,1992 Summer,Jorunn Horgen,83,51,32,17,2,4,1,7,Knut Holmann (2 medals)
13,1992 Winter,Eirik Kvalfoss,80,61,19,11,9,6,5,20,Bjørn Dæhlie and Vegard Ulvang (4 medals)
14,1988 Summer,Grete Andersen-Waitz,69,44,25,11,2,3,,5,22 athletes with 1 medal
15,1988 Winter,Oddvar Brå,64,54,10,8,,3,2,5,Erik Johnsen (2 medals)
16,1984 Summer,Alf Hansen,103,84,19,17,,1,2,3,4 athletes with 1 medal
17,1984 Winter,Bjørg Eva Jensen,58,50,8,8,3,2,4,9,Eirik Kvalfoss (3 medals)
18,1980 Winter,Jan Egil Storholt,64,55,9,7,1,3,6,10,3 athletes with 2 medals
19,1976 Summer,Leif Jensen,66,60,6,11,1,1,,2,6 athletes with 1 medal
20,1976 Winter,Pål Tyldum,42,35,7,7,3,3,1,7,Ivar Formo and Sten Stensen (2 medals)
21,1972 Summer,Harald Barlie,112,101,11,15,2,1,1,4,8 athletes with 1 medal
22,1972 Winter,Magnar Solberg,67,56,11,8,2,5,5,12,Pål Tyldum (3 medals)
23,1968 Summer,Berit Berthelsen,46,38,8,11,1,1,,2,6 athletes with 1 medal
24,1968 Winter,Bjørn Wirkola,65,54,11,8,6,6,2,14,7 athletes with 2 medals
25,1964 Summer,Crown Prince Harald,26,24,2,6,,,,,
26,1964 Winter,Knut Johannesen,58,51,7,9,3,6,6,15,5 athletes with 2 medals
27,1960 Summer,Sverre Strandli,40,39,1,11,1,,,1,Bjørn Bergvall and Peder Lunde Jr. (1 medal)
28,1960 Winter,Knut Johannesen,29,25,4,6,3,3,,6,Håkon Brusveen and Knut Johannesen (2 medals)
29,1956 Summer,Thor Thorvaldsen,18,18,0,5,1,,2,3,3 athletes with 1 medal
30,1956 Winter,Sverre Stenersen,45,37,8,6,2,1,1,4,4 athletes with 1 medal
31,1956 Equestrian,Birck Elgaaen,4,1,3,1,,,,,
32,1952 Summer,Martin Stokken,102,96,6,14,3,2,,5,13 athletes with 1 medal
33,1952 Winter,Hjalmar Andersen,73,61,12,8,7,3,6,16,Hjalmar Andersen (3 medals)
34,1948 Summer,Godtfred Holmvang,81,77,4,12,1,3,3,7,18 athletes with 1 medal
35,1948 Winter,Birger Ruud,49,45,4,7,4,3,3,10,Odd Lundberg (2 medals)
36,1936 Summer,Otto Berg,70,68,2,12,1,3,2,6,28 athletes with 1 medal
37,1936 Winter,Ivar Ballangrud,31,25,6,6,7,5,3,15,Ivar Ballangrud (4 medals)
38,1932 Summer,Olav Sunde,7,6,1,4,,,,,
39,1932 Winter,Johan Grøttumsbraaten,19,18,1,5,3,4,3,10,10 athletes with 1 medal
40,1928 Summer,Ketil Askildt,52,52,0,9,1,2,1,4,9 athletes with 1 medal
41,1928 Winter,Ole Reistad,25,22,3,5,6,4,5,15,Bernt Evensen (3 medals)
42,1924 Summer,,62,60,2,10,5,2,3,10,Ole Lilloe-Olsen and Otto Olsen (3 medals)
43,1924 Winter,Harald Strøm,14,13,1,5,4,7,6,17,Roald Larsen (5 medals)
44,1920 Summer,Helge Løvland,194,188,6,16,13,10,9,32,Otto Olsen (5 medals)
45,1912 Summer,,190,188,2,14,4,1,5,10,80 athletes with 1 medal
46,1908 Summer,Oskar Bye,69,69,0,7,2,3,3,8,3 athletes with 2 medals
47,1906 Summer,Ole Tobias Olsen,32,32,0,3,1,1,,2,25 athletes with 1 medal
48,1904 Summer,,2,2,0,1,2,,,2,Charles Ericksen and Bernhoff Hansen (1 medal)
49,1900 Summer,,7,7,0,2,,2,3,5,Ole Østmo (4 medals)
