
Rk,Games,Flag Bearer,Participants,Men,Women,Sports,Gold,Silver,Bronze,Total,Top Medalist(s)
1,2014 Winter,Shane Dobbin,14,6,8,5,,,,,
2,2012 Summer,Nick Willis,178,96,82,16,6,2,5,13,27 athletes with 1 medal
3,2010 Winter,Juliane Bray,16,9,7,8,,,,,
4,2008 Summer,Mahé Drysdale,178,96,82,17,3,2,4,9,Hayden Roulston (2 medals)
5,2006 Winter,Sean Becker,15,10,5,5,,,,,
6,2004 Summer,Beatrice Faumuina,148,81,67,18,3,2,,5,6 athletes with 1 medal
7,2002 Winter,Angie Paul,10,7,3,5,,,,,
8,2000 Summer,Blyth Tait,147,77,70,18,1,,3,4,4 athletes with 1 medal
9,1998 Winter,Peter Henry,8,4,4,6,,,,,
10,1996 Summer,Barbara Kendall,95,66,29,15,3,2,1,6,Blyth Tait and Danyon Loader (2 medals)
11,1994 Winter,Tony Smith,7,5,2,2,,,,,
12,1992 Summer,Mark Todd,134,92,42,17,1,4,5,10,Blyth Tait (2 medals)
13,1992 Winter,Chris Nicholson,6,5,1,2,,1,,1,Annelise Coberger (1 medal)
14,1988 Summer,Ian Ferguson,83,67,16,16,3,2,8,13,Paul MacDonald (3 medals)
15,1988 Winter,Simon Lyle Wi Rutene,9,7,2,3,,,,,
16,1984 Summer,John Walker,130,98,32,18,8,1,2,11,Ian Ferguson (3 medals)
17,1984 Winter,Markus Hubrich,6,4,2,1,,,,,
18,1980 Summer,Brian Newth,4,4,0,2,,,,,
19,1980 Winter,Stuart Blakely,5,3,2,1,,,,,
20,1976 Summer,David Aspin,80,71,9,13,2,1,1,4,25 athletes with 1 medal
21,1976 Winter,Stuart Blakely,5,3,2,1,,,,,
22,1972 Summer,Les Mills,89,82,7,14,1,1,1,3,14 athletes with 1 medal
23,1972 Winter,Alan Ward,2,2,0,1,,,,,
24,1968 Summer,Don Oliver,52,47,5,8,1,,2,3,7 athletes with 1 medal
25,1968 Winter,Thomas Huppert,6,4,2,1,,,,,
26,1964 Summer,Peter Snell,64,56,8,11,3,,2,5,Peter Snell (2 medals)
27,1960 Summer,Les Mills,37,33,4,9,2,,1,3,3 athletes with 1 medal
28,1960 Winter,Bill Hunt,4,2,2,1,,,,,
29,1956 Summer,Ritchie Johnston,51,43,8,9,2,,,2,3 athletes with 1 medal
30,1952 Summer,Harold Cleghorn,14,12,2,5,1,,2,3,3 athletes with 1 medal
31,1952 Winter,Austin Hayward,3,2,1,1,,,,,
32,1948 Summer,Harry Nelson,7,6,1,5,,,,,
33,1936 Summer,Jack Lovelock,7,7,0,3,1,,,1,Jack Lovelock (1 medal)
34,1932 Summer,John MacDonald,21,20,1,4,,1,,1,Bob Stiles and Fred Thompson (1 medal)
35,1928 Summer,Arthur Porritt,9,6,3,3,1,,,1,Ted Morgan (1 medal)
36,1924 Summer,Arthur Porritt,4,3,1,3,,,1,1,Arthur Porritt (1 medal)
37,1920 Summer,Harry Wilson,4,3,1,3,,,1,1,Darcy Hadfield (1 medal)
38,1900 Summer,,1,1,0,1,,,,,Victor Lindberg (1 medal)
