
Rk,Games,Flag Bearer,Participants,Men,Women,Sports,Gold,Silver,Bronze,Total,Top Medalist(s)
1,2014 Winter,Muhammad Karim,1,1,0,1,,,,,
2,2012 Summer,Sohail Abbas,21,19,2,4,,,,,
3,2010 Winter,Muhammad Abbas,1,1,0,1,,,,,
4,2008 Summer,Zeeshan Ashraf,21,19,2,4,,,,,
5,2004 Summer,Muhammad Nadeem,26,24,2,5,,,,,
6,2000 Summer,Ahmed Alam,27,26,1,6,,,,,
7,1996 Summer,Manzoor Ahmed,24,23,1,5,,,,,
8,1992 Summer,Shahbaz Ahmed,27,27,0,5,,,1,1,16 athletes with 1 medal
9,1988 Summer,Nasir Ali,30,30,0,6,,,1,1,Syed Hussain Shah (1 medal)
10,1984 Summer,Manzoor Hussain,31,31,0,5,1,,,1,16 athletes with 1 medal
11,1976 Summer,Abdul Rashid,24,24,0,5,,,1,1,16 athletes with 1 medal
12,1972 Summer,Mohammad Malik Arshad,25,25,0,5,,1,,1,15 athletes with 1 medal
13,1968 Summer,Tariq Aziz,15,15,0,2,1,,,1,13 athletes with 1 medal
14,1964 Summer,Manzoor Hussain Atif,41,41,0,7,,1,,1,16 athletes with 1 medal
15,1960 Summer,Muhammad Iqbal,44,44,0,7,1,,1,2,14 athletes with 1 medal
16,1956 Summer,Abdul Hamid,55,55,0,8,,1,,1,14 athletes with 1 medal
17,1952 Summer,Niaz Khan,38,38,0,7,,,,,
18,1948 Summer,Ahmed Zahur Khan,35,35,0,6,,,,,
