
Rk,Games,Flag Bearer,Participants,Men,Women,Sports,Gold,Silver,Bronze,Total,Top Medalist(s)
1,2012 Summer,Irving Saladino,8,6,2,5,,,,,
2,2008 Summer,Jesika Jiménez,5,3,2,3,1,,,1,Irving Saladino (1 medal)
3,2004 Summer,Eileen Marie Coparropa,4,3,1,2,,,,,
4,2000 Summer,Eileen Marie Coparropa,6,4,2,5,,,,,
5,1996 Summer,Eileen Marie Coparropa,7,5,2,6,,,,,
6,1992 Summer,,5,5,0,4,,,,,
7,1988 Summer,Manuel Gutiérrez,6,6,0,3,,,,,
8,1984 Summer,José Díaz,8,7,1,5,,,,,
9,1976 Summer,,8,7,1,5,,,,,
10,1972 Summer,Donaldo Arza,7,7,0,4,,,,,
11,1968 Summer,,16,16,0,3,,,,,
12,1964 Summer,,10,6,4,5,,,,,
13,1960 Summer,,6,2,4,3,,,,,
14,1952 Summer,,1,1,0,1,,,,,
15,1948 Summer,,1,1,0,1,,,2,2,Lloyd LaBeach (2 medals)
16,1928 Summer,Adán Gordón,1,1,0,1,,,,,
