
Rk,Games,Flag Bearer,Participants,Men,Women,Sports,Gold,Silver,Bronze,Total,Top Medalist(s)
1,2014 Winter,Julia Marino,1,0,1,1,,,,,
2,2012 Summer,Ben Hockin,8,4,4,6,,,,,
3,2008 Summer,Víctor Fatecha,7,3,4,5,,,,,
4,2004 Summer,Rocio Rivarola,22,20,2,4,,1,,1,17 athletes with 1 medal
5,2000 Summer,Nery Kennedy,5,2,3,3,,,,,
6,1996 Summer,Ramón Jiménez-Gaona,7,6,1,5,,,,,
7,1992 Summer,Ramón Jiménez-Gaona,27,24,3,6,,,,,
8,1988 Summer,Ramón Jiménez-Gaona,10,10,0,5,,,,,
9,1984 Summer,Max Narváez,14,14,0,4,,,,,
10,1976 Summer,Julio Abreu,4,4,0,4,,,,,
11,1972 Summer,Arnulfo Ruben Becker,3,3,0,2,,,,,
12,1968 Summer,,1,1,0,1,,,,,
