
Rk,Games,Flag Bearer,Participants,Men,Women,Sports,Gold,Silver,Bronze,Total,Top Medalist(s)
1,2014 Winter,Roberto Carcelén,3,2,1,2,,,,,
2,2012 Summer,Gladys Tejeda,16,9,7,9,,,,,
3,2010 Winter,Roberto Carcelén,3,2,1,2,,,,,
4,2008 Summer,Sixto Barrera,13,7,6,10,,,,,
5,2004 Summer,Francisco Boza,12,7,5,10,,,,,
6,2000 Summer,Rosa García,21,8,13,7,,,,,
7,1996 Summer,Juan Jorge Giha Jr.,29,15,14,8,,,,,
8,1992 Summer,,16,12,4,9,,1,,1,Juan Jorge Giha Jr. (1 medal)
9,1988 Summer,Rodrigo Ranguna,21,7,14,7,,1,,1,12 athletes with 1 medal
10,1984 Summer,Edwin Vásquez,35,19,16,10,,1,,1,Francisco Boza (1 medal)
11,1980 Summer,,28,14,14,5,,,,,
12,1976 Summer,,13,0,13,2,,,,,
13,1972 Summer,Enrique Barza,20,17,3,7,,,,,
14,1968 Summer,,28,16,12,8,,,,,
15,1964 Summer,,31,30,1,5,,,,,
16,1960 Summer,,31,31,0,3,,,,,
17,1956 Summer,,8,8,0,1,,,,,
18,1948 Summer,Carlos Domínguez,41,41,0,7,1,,,1,Edwin Vásquez (1 medal)
19,1936 Summer,Victor Flores,40,40,0,8,,,,,
20,1932 Summer,,2,2,0,1,,,,,
21,1900 Summer,,1,1,0,1,,,,,
