
Rk,Games,Flag Bearer,Participants,Men,Women,Sports,Gold,Silver,Bronze,Total,Top Medalist(s)
1,2014 Winter,Michael Christian Martinez,1,1,0,1,,,,,
2,2012 Summer,Hidilyn Diaz,11,7,4,8,,,,,
3,2008 Summer,Emmanuel "Manny" Pacquiao,15,10,5,8,,,,,
4,2004 Summer,Christopher Camat,16,12,4,6,,,,,
5,2000 Summer,Donald Geisler,20,11,9,9,,,,,
6,1996 Summer,Reynaldo Galido,12,7,4,6,,1,,1,Mansueto Velasco (1 medal)
7,1992 Summer,,26,23,2,9,,,1,1,Roel Velasco (1 medal)
8,1992 Winter,Michael Teruel,1,1,0,1,,,,,
9,1988 Summer,Joseph Buhain,31,26,5,11,,,1,1,Leopoldo Serrantes (1 medal)
10,1988 Winter,Raymund Ocampo,1,1,0,1,,,,,
11,1984 Summer,Isidro del Prado,19,15,4,6,,,,,
12,1976 Summer,,14,13,1,6,,,,,
13,1972 Summer,Jimmy Mariano,53,48,5,11,,,,,
14,1972 Winter,,2,2,0,1,,,,,
15,1968 Summer,,49,45,4,10,,,,,
16,1964 Summer,Manfredo Alipala,47,40,7,10,,1,,1,Anthony Villanueva (1 medal)
17,1960 Summer,,40,36,4,7,,,,,
18,1956 Summer,,39,35,4,7,,,,,
19,1952 Summer,,25,25,0,7,,,,,
20,1948 Summer,,26,26,0,8,,,,,
21,1936 Summer,Simeon Toribio,28,28,0,6,,,1,1,Miguel White (1 medal)
22,1932 Summer,,8,8,0,3,,,3,3,3 athletes with 1 medal
23,1928 Summer,,4,4,0,2,,,1,1,Teófilo Yldefonso (1 medal)
24,1924 Summer,,1,1,0,1,,,,,
