
Rk,Games,Flag Bearer,Participants,Men,Women,Sports,Gold,Silver,Bronze,Total,Top Medalist(s)
1,2014 Winter,Dawid Kupczyk,58,35,23,11,4,1,1,6,Kamil Stoch and Zbigniew Bródka (2 medals)
2,2012 Summer,Agnieszka Radwańska,210,124,86,24,2,2,6,10,12 athletes with 1 medal
3,2010 Winter,Konrad Niedźwiedzki,46,26,20,11,1,3,2,6,Justyna Kowalczyk (3 medals)
4,2008 Summer,Marek Twardowski,257,156,101,23,3,6,1,10,20 athletes with 1 medal
5,2006 Winter,Paulina Ligocka,45,29,16,11,,1,1,2,Tomasz Sikora and Justyna Kowalczyk (1 medal)
6,2004 Summer,Bartosz Kizierowski,194,132,62,21,3,2,5,10,Otylia Jędrzejczak (3 medals)
7,2002 Winter,Mariusz Siudek,27,22,5,9,,1,1,2,Adam Małysz (2 medals)
8,2000 Summer,Andrzej Wroński,187,129,58,20,6,5,3,14,Robert Korzeniowski (2 medals)
9,1998 Winter,Jan Ziemianin,39,24,15,10,,,,,
10,1996 Summer,Rafał Szukała,165,126,39,20,7,5,5,17,Renata Mauer-Różańska (2 medals)
11,1994 Winter,Tomasz Sikora,28,15,13,8,,,,,
12,1992 Summer,Waldemar Legień,201,149,52,21,3,6,10,19,Arkadiusz Skrzypaszek (2 medals)
13,1992 Winter,Henryk Gruth,53,41,12,9,,,,,
14,1988 Summer,Bogdan Daras,143,111,32,19,2,5,9,16,Marek Dopierała and Marek Łbik (2 medals)
15,1988 Winter,Henryk Gruth,32,28,4,6,,,,,
16,1984 Winter,Józef Łuszczek,30,24,6,6,,,,,
17,1980 Summer,Czesław Kwieciński,306,232,74,21,3,14,15,32,Jan Kowalczyk (2 medals)
18,1980 Winter,Józef Łuszczek,30,29,1,5,,,,,
19,1976 Summer,Grzegorz Śledziewski,207,180,27,18,7,6,13,26,Mieczysław Nowicki (2 medals)
20,1976 Winter,Wojciech Truchan,56,43,13,9,,,,,
21,1972 Summer,Waldemar Baszanowski,290,252,38,22,7,5,9,21,Witold Woyda (2 medals)
22,1972 Winter,Andrzej Bachleda-Curuś,47,39,8,8,1,,,1,Wojciech Fortuna (1 medal)
23,1968 Summer,Waldemar Baszanowski,177,140,37,16,5,2,11,18,Irena Szewińska-Kirszenstein (2 medals)
24,1968 Winter,Stanisław Szczepaniak,31,23,8,7,,,,,
25,1964 Summer,Waldemar Baszanowski,140,115,25,12,7,6,10,23,Irena Szewińska-Kirszenstein (3 medals)
26,1964 Winter,Jerzy Wojnar,51,40,11,8,,,,,
27,1960 Summer,Teodor Kocerka,185,156,29,17,4,6,11,21,30 athletes with 1 medal
28,1960 Winter,Józef Karpiel,13,7,6,4,,1,1,2,Helena Pilejczyk and Elwira Seroczyńska (1 medal)
29,1956 Summer,Tadeusz Rut,64,49,15,9,1,4,4,9,Jerzy Pawłowski (2 medals)
30,1956 Winter,Tadeusz Kwapień,51,44,7,6,,,1,1,Franciszek Gąsienica Groń (1 medal)
31,1952 Summer,Teodor Kocerka,125,103,22,11,1,2,1,4,4 athletes with 1 medal
32,1952 Winter,Stanisław Marusarz,30,27,3,4,,,,,
33,1948 Summer,Mieczysław Łomowski,37,30,7,5,1,,1,2,Aleksy Antkiewicz and Zbigniew Turski (1 medal)
34,1948 Winter,Stanisław Marusarz,29,29,0,5,,,,,
35,1936 Summer,Klemens Biniakowski,144,127,17,15,,4,5,9,12 athletes with 1 medal
36,1936 Winter,Bronisław Czech,20,20,0,6,,,,,
37,1932 Summer,Janusz Ślązak,51,42,9,4,3,2,4,9,3 athletes with 2 medals
38,1932 Winter,Józef Stogowski,15,15,0,4,,,,,
39,1928 Summer,Marian Cieniewski,93,82,11,11,2,1,4,7,Michał Antoniewicz (2 medals)
40,1928 Winter,Andrzej Krzeptowski I,24,24,0,5,,,,,
41,1924 Summer,Sławosz Szydłowski,65,64,1,10,,1,1,2,5 athletes with 1 medal
42,1924 Winter,Kazimierz Smogorzewski,7,7,0,5,,,,,
43,1912 Summer,,1,1,0,1,,,,,
