
Rk,Games,Flag Bearer,Participants,Men,Women,Sports,Gold,Silver,Bronze,Total,Top Medalist(s)
1,2014 Winter,Artur Hanse,2,1,1,1,,,,,
2,2012 Summer,Telma Monteiro,76,44,32,14,,1,,1,Emanuel Silva and Fernando Pimenta (1 medal)
3,2010 Winter,Danny Silva,1,1,0,1,,,,,
4,2008 Summer,Nelson Évora,77,51,26,16,1,1,,2,Nelson Évora and Vanessa Fernandes (1 medal)
5,2006 Winter,Danny Silva,1,1,0,1,,,,,
6,2004 Summer,Nuno Delgado,81,64,17,16,,2,1,3,3 athletes with 1 medal
7,2000 Summer,Miguel Maia,61,48,13,13,,,2,2,Fernanda Ribeiro and Nuno Delgado (1 medal)
8,1998 Winter,Mafalda Pereira,2,1,1,2,,,,,
9,1996 Summer,Fernanda Ribeiro,107,83,24,18,1,,1,2,3 athletes with 1 medal
10,1994 Winter,Georges Mendes,1,1,0,1,,,,,
11,1992 Summer,Filipa Cavalleri,90,68,22,14,,,,,
12,1988 Summer,João Rebelo,64,55,9,14,1,,,1,Rosa Mota (1 medal)
13,1988 Winter,Antonio Reis,5,5,0,1,,,,,
14,1984 Summer,António Roquete,38,29,9,11,1,,2,3,3 athletes with 1 medal
15,1980 Summer,Esbela da Fonseca,11,10,1,6,,,,,
16,1976 Summer,,19,19,0,6,,2,,2,Armando Marques and Carlos Lopes (1 medal)
17,1972 Summer,Armando Aldegalega,29,29,0,8,,,,,
18,1968 Summer,,20,19,1,6,,,,,
19,1964 Summer,Fernando Matos,20,19,1,7,,,,,
20,1960 Summer,,65,60,5,11,,1,,1,José Manuel Quina and Mário Quina (1 medal)
21,1956 Summer,,5,5,0,1,,,,,
22,1956 Equestrian,,7,7,0,1,,,,,
23,1952 Summer,,71,68,3,10,,,1,1,Joaquim Fiúza and Francisco de Andrade (1 medal)
24,1952 Winter,Duarte Silva,1,1,0,1,,,,,
25,1948 Summer,,48,48,0,8,,1,1,2,5 athletes with 1 medal
26,1936 Summer,Fasette,19,19,0,5,,,1,1,3 athletes with 1 medal
27,1932 Summer,,6,6,0,3,,,,,
28,1928 Summer,,31,31,0,8,,,1,1,6 athletes with 1 medal
29,1924 Summer,António Martins,28,28,0,8,,,1,1,4 athletes with 1 medal
30,1920 Summer,António de Menezes,13,13,0,2,,,,,
31,1912 Summer,Francisco Lázaro,6,6,0,3,,,,,
