
Rk,Games,Flag Bearer,Participants,Men,Women,Sports,Gold,Silver,Bronze,Total,Top Medalist(s)
1,2012 Summer,Pak Song-Chol,52,15,37,11,4,,2,6,6 athletes with 1 medal
2,2010 Winter,Song Chol-Ri,2,1,1,2,,,,,
3,2008 Summer,Mun-Il Pang,58,21,37,12,2,1,3,6,6 athletes with 1 medal
4,2006 Winter,Han Jong-In,6,2,4,2,,,,,
5,2004 Summer,Song-Ho Kim,36,13,23,9,,4,1,5,5 athletes with 1 medal
6,2000 Summer,Jung-Chul Pak,31,14,17,10,,1,3,4,4 athletes with 1 medal
7,1998 Winter,Yun Chol,8,2,6,2,,,,,
8,1996 Summer,Ra-U Chae,24,15,9,9,2,1,2,5,5 athletes with 1 medal
9,1992 Summer,,64,36,28,12,4,,5,9,Li Bun-Hui (2 medals)
10,1992 Winter,,20,9,11,5,,,1,1,Hwang Ok-Sil (1 medal)
11,1988 Winter,Im Ri-Bin,6,3,3,2,,,,,
12,1984 Winter,Im Ri-Bin,6,3,3,1,,,,,
13,1980 Summer,,47,39,8,8,,3,2,5,5 athletes with 1 medal
14,1976 Summer,,38,36,2,8,1,1,,2,Gu Yong-Jo and Li Byong-Uk (1 medal)
15,1972 Summer,Man-Dok Kim,37,23,14,10,1,1,3,5,15 athletes with 1 medal
16,1972 Winter,,6,0,6,1,,,,,
17,1964 Winter,,13,6,7,2,,1,,1,Han Pil-Hwa (1 medal)
