
Rk,Games,Flag Bearer,Participants,Men,Women,Sports,Gold,Silver,Bronze,Total,Top Medalist(s)
1,2012 Summer,Javier Culson,25,19,6,8,,1,1,2,Javier Culson and Jaime Espinal (1 medal)
2,2008 Summer,McWilliams Arroyo,22,17,5,8,,,,,
3,2004 Summer,Carlos Arroyo,43,32,11,15,,,,,
4,2000 Summer,Quique Figueroa,29,23,6,10,,,,,
5,1998 Winter,José Ferrer,6,6,0,2,,,,,
6,1996 Summer,Ivelisse Echevarría,69,47,22,16,,,1,1,Daniel Santos (1 medal)
7,1994 Winter,Liston Bochette,5,5,0,1,,,,,
8,1992 Summer,Luis Martínez,71,65,6,12,,,1,1,Anibál Acevedo (1 medal)
9,1992 Winter,Jorge Bonnet,6,6,0,2,,,,,
10,1988 Summer,Jesús Feliciano,47,44,3,12,,,,,
11,1988 Winter,Mary Pat Wilson,9,8,1,3,,,,,
12,1984 Summer,Fernando Cañales,51,43,8,13,,1,1,2,Arístides González and Luis Ortíz (1 medal)
13,1984 Winter,George Tucker,1,1,0,1,,,,,
14,1980 Summer,Alberto Mercado,3,3,0,1,,,,,
15,1976 Summer,Téofilo Colón,80,73,7,12,,,1,1,Orlando Maldonado (1 medal)
16,1972 Summer,Arnaldo Bristol,53,53,0,10,,,,,
17,1968 Summer,Jaime Frontera,58,54,4,10,,,,,
18,1964 Summer,Rolando Cruz,32,30,2,8,,,,,
19,1960 Summer,Toñín Casillas,27,26,1,6,,,,,
20,1956 Summer,Daniel Cintrón,10,10,0,2,,,,,
21,1952 Summer,Jaime Annexy,21,21,0,4,,,,,
22,1948 Summer,José Vicente,9,9,0,3,,,1,1,Juan Venegas (1 medal)
