
Rk,Games,Flag Bearer,Participants,Men,Women,Sports,Gold,Silver,Bronze,Total,Top Medalist(s)
1,2014 Winter,Eva Tofalvi,22,15,7,8,,,,,
2,2012 Summer,Horia Tecău,105,55,50,15,2,5,2,9,Cătălina Ponor and Sandra Izbașa (2 medals)
3,2010 Winter,Eva Tofalvi,28,14,14,9,,,,,
4,2008 Summer,Valeria Motogna-Beşe,101,40,61,16,4,1,3,8,3 athletes with 2 medals
5,2006 Winter,Gheorghe Chiper,25,16,9,8,,,,,
6,2004 Summer,Elisabeta Oleniuc-Lipă,108,50,58,16,8,5,6,19,Marian Drăgulescu and Cătălina Ponor (3 medals)
7,2002 Winter,Eva Tofalvi,21,11,10,8,,,,,
8,2000 Summer,Elisabeta Oleniuc-Lipă,145,71,74,16,11,6,9,26,Simona Amânar (3 medals)
9,1998 Winter,Mihaela Dascălu,16,12,4,6,,,,,
10,1996 Summer,Iulică Ruican,165,98,67,18,4,7,9,20,Simona Amânar and Gina Gogean (4 medals)
11,1994 Winter,Ioan Apostol,23,13,10,7,,,,,
12,1992 Summer,Costel Grasu,173,105,68,18,4,6,8,18,Lavinia Miloşovici (4 medals)
13,1992 Winter,Ioan Apostol,23,14,9,8,,,,,
14,1988 Summer,Vasile Andrei,68,32,36,10,7,11,6,24,Daniela Silivaş (6 medals)
15,1988 Winter,Dorin Degan,11,5,6,4,,,,,
16,1984 Summer,Corneliu Ion,124,71,53,13,20,16,17,53,Ecaterina Szabo (5 medals)
17,1984 Winter,Dorel Cristudor,19,16,3,6,,,,,
18,1980 Summer,Vasile Andrei,228,154,74,20,6,6,13,25,Nadia Comăneci (4 medals)
19,1980 Winter,Gheorghe Lixandru,35,33,2,4,,,,,
20,1976 Summer,Nicolae Martinescu,157,103,54,11,4,9,14,27,Nadia Comăneci (5 medals)
21,1976 Winter,Gheorghe Gârniţă,32,32,0,4,,,,,
22,1972 Summer,Aurel Vernescu,159,132,27,16,3,6,7,16,Ivan Patzaichin (2 medals)
23,1972 Winter,Ion Panţuru,13,13,0,4,,,,,
24,1968 Summer,Aurel Vernescu,82,66,16,9,4,6,5,15,23 athletes with 1 medal
25,1968 Winter,Beatrice Huştiu,30,29,1,5,,,1,1,Nicolae Neagoe and Ion Panţuru (1 medal)
26,1964 Summer,Aurel Vernescu,138,108,30,13,2,4,6,12,Hilde Lauer and Aurel Vernescu (2 medals)
27,1964 Winter,Ion Panţuru,27,27,0,4,,,,,
28,1960 Summer,Alexandru Bizim,98,82,16,13,3,1,6,10,15 athletes with 1 medal
29,1956 Summer,Iosif Sîrbu,44,33,11,10,5,3,5,13,Leon Rotman and Elena Leuştean-Popescu (2 medals)
30,1956 Winter,,19,13,6,4,,,,,
31,1956 Equestrian,Nicolae Marcoci,6,6,0,1,,,,,
32,1952 Summer,Dumitru Paraschivescu,114,103,11,15,1,1,2,4,4 athletes with 1 medal
33,1952 Winter,,16,16,0,3,,,,,
34,1948 Winter,,7,7,0,1,,,,,
35,1936 Summer,Serban Manciulescu,54,52,2,9,,1,,1,Henri Rang (1 medal)
36,1936 Winter,,15,14,1,5,,,,,
37,1932 Summer,,1,1,0,1,,,,,
38,1932 Winter,,4,4,0,1,,,,,
39,1928 Summer,,21,19,2,2,,,,,
40,1928 Winter,,10,10,0,1,,,,,
41,1924 Summer,,35,35,0,4,,,1,1,16 athletes with 1 medal
42,1900 Summer,,1,1,0,1,,,,,
