
Rk,Games,Flag Bearer,Participants,Men,Women,Sports,Gold,Silver,Bronze,Total,Top Medalist(s)
1,2012 Summer,Caster Semenya,124,68,56,17,3,2,1,6,Chad le Clos (2 medals)
2,2010 Winter,Oliver Kraas,2,2,0,2,,,,,
3,2008 Summer,Natalie du Toit,134,75,59,20,,1,,1,Godfrey Khotso Mokoena (1 medal)
4,2006 Winter,Alex Heath,3,3,0,3,,,,,
5,2004 Summer,Mbulaeni Mulaudzi,106,66,40,20,1,3,2,6,Roland Schoeman (3 medals)
6,2002 Winter,Alex Heath,1,1,0,1,,,,,
7,2000 Summer,Hezekiel Sepeng,127,89,38,17,,2,3,5,5 athletes with 1 medal
8,1998 Winter,Shirene Human,2,1,1,2,,,,,
9,1996 Summer,Masibulele Makepula,84,64,20,14,3,1,1,5,Penny Heyns (2 medals)
10,1994 Winter,Dino Quattrocecere,2,1,1,2,,,,,
11,1992 Summer,Jan Tau,93,68,25,19,,2,,2,3 athletes with 1 medal
12,1960 Summer,Manie van Zyl,55,53,2,12,,1,2,3,3 athletes with 1 medal
13,1960 Winter,,4,1,3,1,,,,,
14,1956 Summer,,50,44,6,10,,,4,4,7 athletes with 1 medal
15,1952 Summer,Schalk Booysen,64,60,4,13,2,4,4,10,Ray Robinson and Tommy Shardelow (2 medals)
16,1948 Summer,,35,34,1,10,2,2,2,6,6 athletes with 1 medal
17,1936 Summer,Clarke Scholtz,32,27,5,6,,1,,1,Charles Catterall (1 medal)
18,1932 Summer,Harry Hart,12,10,2,4,2,,3,5,5 athletes with 1 medal
19,1928 Summer,,24,18,6,7,1,,2,3,6 athletes with 1 medal
20,1924 Summer,,30,30,0,7,1,1,1,3,3 athletes with 1 medal
21,1920 Summer,,39,38,1,7,3,4,3,10,Bevil Rudd (3 medals)
22,1912 Summer,,21,21,0,6,4,2,,6,Harry Kitson and Charles Winslow (2 medals)
23,1908 Summer,Doug Stupart,14,14,0,4,1,1,,2,Charles Hefferon and Reggie Walker (1 medal)
24,1904 Summer,,8,8,0,2,,,,,
