
Rk,Games,Flag Bearer,Participants,Men,Women,Sports,Gold,Silver,Bronze,Total,Top Medalist(s)
1,2012 Summer,Hortence Diédhiou,31,24,7,8,,,,,
2,2010 Winter,Leyti Seck,1,1,0,1,,,,,
3,2008 Summer,Bineta Diédhiou,15,8,7,7,,,,,
4,2006 Winter,Leyti Seck,1,1,0,1,,,,,
5,2004 Summer,Malick Fall,16,6,10,6,,,,,
6,2000 Summer,Mame Tacko Diouf,26,7,19,6,,,,,
7,1996 Summer,Ibou Faye,11,11,0,3,,,,,
8,1994 Winter,Lamine Guèye,1,1,0,1,,,,,
9,1992 Summer,,20,18,2,4,,,,,
10,1992 Winter,Lamine Guèye,2,2,0,1,,,,,
11,1988 Summer,Amadou Dia Bâ,23,22,1,4,,1,,1,Amadou Dia Bâ (1 medal)
12,1984 Summer,Amadou Ciré Baal,24,23,1,5,,,,,
13,1984 Winter,,1,1,0,1,,,,,
14,1980 Summer,,32,30,2,4,,,,,
15,1976 Summer,,21,19,2,4,,,,,
16,1972 Summer,Robert N'Diaye,38,38,0,5,,,,,
17,1968 Summer,,21,21,0,2,,,,,
18,1964 Summer,,12,12,0,1,,,,,
