
Rk,Games,Flag Bearer,Participants,Men,Women,Sports,Gold,Silver,Bronze,Total,Top Medalist(s)
1,2012 Summer,Feng Tian Wei,23,8,15,9,,,2,2,Feng Tian Wei (2 medals)
2,2008 Summer,Li Jia Wei,25,11,14,6,,1,,1,3 athletes with 1 medal
3,2004 Summer,Ronald Susilo,16,6,10,6,,,,,
4,2000 Summer,Joscelin Yeo,14,8,6,4,,,,,
5,1996 Summer,Lee Wung Yew,14,9,5,6,,,,,
6,1992 Summer,,14,11,3,6,,,,,
7,1988 Summer,Ang Peng Siong,8,7,1,3,,,,,
8,1984 Summer,Ang Peng Siong,5,5,0,2,,,,,
9,1976 Summer,Koh Eng Kian,4,3,1,4,,,,,
10,1972 Summer,Pat Chan,7,5,2,3,,,,,
11,1968 Summer,,4,4,0,3,,,,,
12,1960 Summer,,5,5,0,3,,1,,1,Tiger Tan (1 medal)
13,1956 Summer,Lionel Chee,49,47,2,6,,,,,
14,1952 Summer,Thong Saw Pak,5,4,1,3,,,,,
15,1948 Summer,Jocelyn de Souza,1,1,0,1,,,,,
