
Rk,Games,Flag Bearer,Participants,Men,Women,Sports,Gold,Silver,Bronze,Total,Top Medalist(s)
1,2014 Winter,Tomaž Razingar,58,43,15,8,2,2,4,8,3 athletes with 2 medals
2,2012 Summer,Peter Kauzer,65,28,37,15,1,1,2,4,5 athletes with 1 medal
3,2010 Winter,Tina Maze,47,30,17,10,,2,1,3,Tina Maze (2 medals)
4,2008 Summer,Urška Žolnir,61,40,21,11,1,2,2,5,5 athletes with 1 medal
5,2006 Winter,Tadeja Brankovič,36,23,13,9,,,,,
6,2004 Summer,Beno Lapajne,79,56,23,10,,1,3,4,5 athletes with 1 medal
7,2002 Winter,Dejan Košir,40,24,16,8,,,1,1,4 athletes with 1 medal
8,2000 Summer,Iztok Čop,74,55,19,13,2,,,2,3 athletes with 1 medal
9,1998 Winter,Primož Peterka,34,21,13,8,,,,,
10,1996 Summer,Brigita Bukovec,37,25,12,8,,2,,2,Andraž Vehovar and Brigita Bukovec (1 medal)
11,1994 Winter,Jure Košir,22,17,5,3,,,3,3,3 athletes with 1 medal
12,1992 Summer,Rajmond Debevec,35,29,6,12,,,2,2,6 athletes with 1 medal
13,1992 Winter,Franci Petek,27,20,7,6,,,,,
