
Rk,Games,Flag Bearer,Participants,Men,Women,Sports,Gold,Silver,Bronze,Total,Top Medalist(s)
1,2014 Winter,Vincenzo Michelotti,2,1,1,1,,,,,
2,2012 Summer,Alessandra Perilli,4,1,3,4,,,,,
3,2010 Winter,Marino Cardelli,1,1,0,1,,,,,
4,2008 Summer,Daniela Del Din,4,2,2,3,,,,,
5,2006 Winter,Marino Cardelli,1,1,0,1,,,,,
6,2004 Summer,Diego Mularoni,5,4,1,3,,,,,
7,2002 Winter,Gian Matteo Giordani,1,1,0,1,,,,,
8,2000 Summer,Emanuela Felici,4,3,1,3,,,,,
9,1996 Summer,Manlio Molinari,7,6,1,6,,,,,
10,1994 Winter,Dino Crescentini,3,3,0,2,,,,,
11,1992 Summer,Sara Casadei,17,16,1,7,,,,,
12,1992 Winter,Andrea Sammaritani,3,3,0,2,,,,,
13,1988 Summer,Dominique Canti,11,11,0,6,,,,,
14,1988 Winter,Nicola Ercolani,5,5,0,2,,,,,
15,1984 Summer,Maurizio Zonzini,19,18,1,7,,,,,
16,1984 Winter,,3,3,0,2,,,,,
17,1980 Summer,,16,16,0,5,,,,,
18,1976 Summer,,10,8,2,3,,,,,
19,1976 Winter,,2,2,0,1,,,,,
20,1972 Summer,Casale Pilade,7,7,0,2,,,,,
21,1968 Summer,,4,4,0,2,,,,,
22,1960 Summer,,9,9,0,3,,,,,
