
Rk,Games,Flag Bearer,Participants,Men,Women,Sports,Gold,Silver,Bronze,Total,Top Medalist(s)
1,2012 Summer,Niluka Karunaratne,7,4,3,4,,,,,
2,2008 Summer,Susanthika Jayasinghe,8,4,4,6,,,,,
3,2004 Summer,Susanthika Jayasinghe,7,4,3,3,,,,,
4,2000 Summer,Damayanthi Dharsha,18,9,9,4,,1,,1,Susanthika Jayasinghe (1 medal)
5,1996 Summer,Sriyani Kulawansa,9,5,4,3,,,,,
6,1992 Summer,,11,5,6,5,,,,,
7,1988 Summer,Daya Rajasinghe Nadarajasingham,6,4,2,3,,,,,
8,1984 Summer,Lalin Jirasinha,4,4,0,3,,,,,
9,1980 Summer,,4,4,0,1,,,,,
10,1972 Summer,Lucien Rosa,4,4,0,2,,,,,
11,1968 Summer,,3,3,0,3,,,,,
12,1964 Summer,,6,6,0,4,,,,,
13,1960 Summer,,5,5,0,4,,,,,
14,1956 Summer,,3,3,0,2,,,,,
15,1952 Summer,,5,5,0,4,,,,,
16,1948 Summer,Duncan White,7,7,0,2,,1,,1,Duncan White (1 medal)
