
Rk,Games,Flag Bearer,Participants,Men,Women,Sports,Gold,Silver,Bronze,Total,Top Medalist(s)
1,2012 Summer,Ismail Ahmed Ismail,6,4,2,2,,,,,
2,2008 Summer,Abubaker Kaki Khamis,9,5,4,2,,1,,1,Ismail Ahmed Ismail (1 medal)
3,2004 Summer,Todd Matthews Jouda,4,3,1,1,,,,,
4,2000 Summer,Mahmoud Kieno,3,2,1,2,,,,,
5,1996 Summer,Mahmoud Musa Abdullah,4,4,0,2,,,,,
6,1992 Summer,,6,6,0,3,,,,,
7,1988 Summer,Omer Khalifa,8,8,0,2,,,,,
8,1984 Summer,Abdul Al-Lalif,7,7,0,2,,,,,
9,1972 Summer,Abdel Wahab Abdullah Salih,26,26,0,4,,,,,
10,1968 Summer,,5,5,0,2,,,,,
11,1960 Summer,,10,10,0,4,,,,,
