
Rk,Games,Flag Bearer,Participants,Men,Women,Sports,Gold,Silver,Bronze,Total,Top Medalist(s)
1,2014 Winter,Simon Ammann,152,86,66,12,6,3,2,11,Dario Cologna (2 medals)
2,2012 Summer,Stanislas Wawrinka,98,70,28,19,2,2,,4,4 athletes with 1 medal
3,2010 Winter,Stéphane Lambiel,134,78,56,14,6,,3,9,Simon Ammann (2 medals)
4,2008 Summer,Roger Federer,83,47,36,20,2,1,4,7,Fabian Cancellara (2 medals)
5,2006 Winter,Philipp Schoch,125,77,48,13,5,4,5,14,Martin Annen and Beat Hefti (2 medals)
6,2004 Summer,Roger Federer,98,59,39,19,1,1,3,5,7 athletes with 1 medal
7,2002 Winter,Gian Simmen,110,80,30,13,3,2,6,11,Simon Ammann (2 medals)
8,2000 Summer,Thomas Frischknecht,102,64,38,19,1,6,2,9,Gianna Hablützel-Bürki (2 medals)
9,1998 Winter,Guido Acklin,69,50,19,12,2,2,3,7,14 athletes with 1 medal
10,1996 Summer,Stefan Schärer,115,72,43,17,4,3,,7,11 athletes with 1 medal
11,1994 Winter,Gustav Weder,59,41,18,10,3,4,2,9,Vreni Schneider (3 medals)
12,1992 Summer,Daniel Giubellini,102,73,29,17,1,,,1,Marc Rosset (1 medal)
13,1992 Winter,Vreni Schneider,74,57,17,8,1,,2,3,Donat Acklin and Gustav Weder (2 medals)
14,1988 Summer,Cornelia Bürki,99,72,27,17,,2,2,4,Christine Stückelberger (2 medals)
15,1988 Winter,Michela Figini,70,56,14,7,5,5,5,15,5 athletes with 2 medals
16,1984 Summer,Christine Stückelberger,129,102,27,18,,4,4,8,Otto Hofer (2 medals)
17,1984 Winter,Erika Hess,42,29,13,8,2,2,1,5,8 athletes with 1 medal
18,1980 Summer,,73,67,6,10,2,,,2,Robert Dill-Bundi and Jürg Röthlisberger (1 medal)
19,1980 Winter,Marie-Theres Nadig,44,33,11,9,1,1,3,5,Sepp Benz and Erich Schärer (2 medals)
20,1976 Summer,Christian Kauter,50,47,3,12,1,1,2,4,Christine Stückelberger (2 medals)
21,1976 Winter,Werner Camichel,59,52,7,9,1,3,1,5,Sepp Benz and Erich Schärer (2 medals)
22,1972 Summer,Urs von Wartburg,151,122,29,17,,3,,3,8 athletes with 1 medal
23,1972 Winter,Edy Bruggmann,52,46,6,6,4,3,3,10,3 athletes with 2 medals
24,1968 Summer,Paul Weier,85,81,4,12,,1,4,5,13 athletes with 1 medal
25,1968 Winter,Alois Kälin,34,29,5,7,,2,4,6,9 athletes with 1 medal
26,1964 Summer,Peter Laeng,66,65,1,13,1,2,1,4,Henri Chammartin (2 medals)
27,1964 Winter,Hans Ammann,72,60,12,10,,,,,
28,1960 Summer,August Hollenstein,149,147,2,16,,3,3,6,Tony Bühler (2 medals)
29,1960 Winter,Andreas Däscher,21,14,7,4,2,,,2,Yvonne Rüegg and Roger Staub (1 medal)
30,1956 Winter,Georges Schneider,59,51,8,7,3,2,1,6,10 athletes with 1 medal
31,1956 Equestrian,,9,9,0,1,,,1,1,3 athletes with 1 medal
32,1952 Summer,Walter Lehmann,157,148,9,17,2,6,6,14,Sepp Stalder (4 medals)
33,1952 Winter,Ulrich Poltera,55,46,9,7,,,2,2,Fritz Feierabend and Stephan Waser (2 medals)
34,1948 Summer,Armin Scheurer,186,178,8,19,5,12,6,23,3 athletes with 3 medals
35,1948 Winter,Felix Endrich,70,59,11,9,3,4,3,10,Karl Molitor (2 medals)
36,1936 Summer,,190,184,6,21,4,9,5,18,Eugen Mack (5 medals)
37,1936 Winter,,34,30,4,7,1,2,,3,Joseph Beerli and Fritz Feierabend (2 medals)
38,1932 Summer,,7,7,0,4,,1,,1,Georges Miez (1 medal)
39,1932 Winter,,7,7,0,3,,1,,1,Reto Capadrutt and Oscar Geier (1 medal)
40,1928 Summer,,133,132,1,15,7,6,4,17,Hermann Hänggi and Georges Miez (4 medals)
41,1928 Winter,Hans Eidenbenz,41,40,1,7,,,1,1,12 athletes with 1 medal
42,1924 Summer,,141,136,5,17,7,8,10,25,August Güttinger and Jean Gutweniger (3 medals)
43,1924 Winter,,30,30,0,7,2,,1,3,9 athletes with 1 medal
44,1920 Summer,Luigi Antognini,77,77,0,13,2,2,7,11,Fritz Kuchen (3 medals)
45,1912 Summer,,7,7,0,2,1,,,1,Alphonse Laverrière and Eugène-Édouard Monod (1 medal)
46,1908 Summer,,1,1,0,1,,,,,
47,1906 Summer,,9,9,0,3,4,3,1,8,Louis Richardet (4 medals)
48,1904 Summer,,2,2,0,2,1,,2,3,Adolf Spinnler (2 medals)
49,1900 Summer,,18,17,1,4,6,2,1,9,Konrad Stäheli (4 medals)
50,1896 Summer,,3,3,0,2,1,2,,3,Louis Zutter (3 medals)
