
Rk,Games,Flag Bearer,Participants,Men,Women,Sports,Gold,Silver,Bronze,Total,Top Medalist(s)
1,2012 Summer,Chinyere Pigot,5,3,2,3,,,,,
2,2008 Summer,Anthony Nesty,4,2,2,2,,,,,
3,2004 Summer,Letitia Vriesde,4,2,2,2,,,,,
4,2000 Summer,Letitia Vriesde,4,2,2,2,,,,,
5,1996 Summer,Enrico Linscheer,7,5,2,3,,,,,
6,1992 Summer,,6,5,1,3,,,1,1,Anthony Nesty (1 medal)
7,1988 Summer,Anthony Nesty,6,4,2,4,1,,,1,Anthony Nesty (1 medal)
8,1984 Summer,Siegfried Cruden,5,5,0,3,,,,,
9,1976 Summer,,3,3,0,2,,,,,
10,1972 Summer,,2,2,0,2,,,,,
11,1968 Summer,,1,1,0,1,,,,,
