
Rk,Games,Flag Bearer,Participants,Men,Women,Sports,Gold,Silver,Bronze,Total,Top Medalist(s)
1,2014 Winter,Zdeno Chára,62,45,17,9,1,,,1,Anastasia Kuzmina (1 medal)
2,2012 Summer,Jozef Gönci,47,26,21,11,,1,3,4,5 athletes with 1 medal
3,2010 Winter,Žigmund Pálffy,68,38,30,8,1,1,1,3,Anastasia Kuzmina (2 medals)
4,2008 Summer,Elena Kaliská,57,35,22,14,3,2,1,6,10 athletes with 1 medal
5,2006 Winter,Walter Marx,58,45,13,9,,1,,1,Radoslav Židek (1 medal)
6,2004 Summer,Michal Martikán,64,48,16,14,2,2,2,6,10 athletes with 1 medal
7,2002 Winter,Róbert Petrovický,49,38,11,10,,,,,
8,2000 Summer,Slavomír Kňazovický,108,81,27,16,1,3,1,5,Martina Moravcová (2 medals)
9,1998 Winter,Ivan Bátory,37,29,8,7,,,,,
10,1996 Summer,Jozef Lohyňa,71,58,13,14,1,1,1,3,3 athletes with 1 medal
11,1994 Winter,Peter Šťastný,42,34,8,7,,,,,
