
Rk,Games,Flag Bearer,Participants,Men,Women,Sports,Gold,Silver,Bronze,Total,Top Medalist(s)
1,2014 Winter,Anders Södergren,99,56,43,9,2,7,6,15,Charlotte Kalla (3 medals)
2,2012 Summer,Rolf-Göran Bengtsson,133,55,78,21,1,4,3,8,22 athletes with 1 medal
3,2010 Winter,Peter Forsberg,101,57,44,9,5,2,4,11,Johan Olsson (3 medals)
4,2008 Summer,Christian Olsson,123,50,73,20,,4,1,5,7 athletes with 1 medal
5,2006 Winter,Anja Pärson,106,63,43,9,7,2,5,14,Anja Pärson (3 medals)
6,2004 Summer,Lars Frölander,115,62,53,20,4,2,1,7,12 athletes with 1 medal
7,2002 Winter,Magdalena Wallin-Forsberg,102,56,46,11,,2,5,7,Magdalena Wallin-Forsberg and Anja Pärson (2 medals)
8,2000 Summer,Anna Olsson,150,98,52,22,4,5,3,12,Therèse Alshammar (3 medals)
9,1998 Winter,Torgny Mogren,99,53,46,10,,2,1,3,7 athletes with 1 medal
10,1996 Summer,Jan-Ove Waldner,177,111,66,22,2,4,2,8,Agneta Andersson (2 medals)
11,1994 Winter,Pernilla Wiberg,84,64,20,10,2,1,,3,24 athletes with 1 medal
12,1992 Summer,Stefan Edberg,187,143,44,22,1,7,4,12,Anders Holmertz (3 medals)
13,1992 Winter,Tomas Gustafson,73,56,17,9,1,,3,4,Mikael Löfgren (2 medals)
14,1988 Summer,Agneta Andersson,185,148,37,23,,4,7,11,Stefan Edberg (2 medals)
15,1988 Winter,Thomas Wassberg,67,54,13,9,4,,2,6,Tomas Gustafson and Gunde Svan (2 medals)
16,1984 Summer,Hans Svensson,174,131,43,19,2,11,6,19,Agneta Andersson and Lars-Erik Moberg (3 medals)
17,1984 Winter,Mats Waltin,60,51,9,8,4,2,2,8,Gunde Svan (4 medals)
18,1980 Summer,,145,122,23,18,3,3,6,12,20 athletes with 1 medal
19,1980 Winter,Eva Olsson,61,49,12,9,3,,1,4,Ingemar Stenmark (2 medals)
20,1976 Summer,Jan Karlsson,116,99,17,16,4,1,,5,10 athletes with 1 medal
21,1976 Winter,Carl-Erik Eriksson,39,30,9,7,,,2,2,Ingemar Stenmark and Benny Södergren (1 medal)
22,1972 Summer,Jan Jönsson,131,104,27,18,4,6,6,16,3 athletes with 2 medals
23,1972 Winter,Hasse Börjes,58,49,9,9,1,1,2,4,4 athletes with 1 medal
24,1968 Summer,Rolf Peterson,100,86,14,13,2,1,1,4,Gösta Pettersson (2 medals)
25,1968 Winter,Barbro Martinsson,68,59,9,9,3,2,3,8,Toini Gustafsson (3 medals)
26,1964 Summer,William Hamilton,94,76,18,13,2,2,4,8,15 athletes with 1 medal
27,1964 Winter,Carl-Gustav Briandt,57,49,8,8,3,3,1,7,Sixten Jernberg (3 medals)
28,1960 Summer,Wille Grut,134,115,19,15,1,2,3,6,Gert Fredriksson (2 medals)
29,1960 Winter,Einar Granath,47,41,6,6,3,2,2,7,Sixten Jernberg and Rolf Rämgård (2 medals)
30,1956 Summer,Per Carleson,88,74,14,14,5,5,6,16,Gert Fredriksson and Ann-Sofi Pettersson-Colling (2 medals)
31,1956 Winter,Bror Östman,58,50,8,8,2,4,4,10,Sixten Jernberg (4 medals)
32,1956 Equestrian,Gustaf Adolf Boltenstern Jr.,9,9,0,1,3,,,3,Henri Saint Cyr (2 medals)
33,1952 Summer,Bo Eriksson,206,183,23,17,12,13,10,35,4 athletes with 2 medals
34,1952 Winter,Erik Elmsäter,65,56,9,8,,,4,4,23 athletes with 1 medal
35,1948 Summer,Per Carleson,181,162,19,18,17,11,18,46,3 athletes with 2 medals
36,1948 Winter,Erik Lindström,43,42,1,6,4,3,3,10,4 athletes with 2 medals
37,1936 Summer,Bo Lindman,171,163,8,17,6,5,10,21,Torsten Ullman (2 medals)
38,1936 Winter,Sven Eriksson,32,31,1,7,2,2,3,7,Erik Larsson (2 medals)
39,1932 Summer,Bo Lindman,81,78,3,12,10,5,9,24,3 athletes with 2 medals
40,1932 Winter,Sven Eriksson,12,11,1,5,1,2,,3,3 athletes with 1 medal
41,1928 Summer,Bo Lindman,100,87,13,11,7,6,12,25,4 athletes with 2 medals
42,1928 Winter,Viking Harbom,24,24,0,6,2,2,1,5,16 athletes with 1 medal
43,1924 Summer,Einar Räberg,159,146,13,15,4,13,12,29,Alf Swahn and Arne Borg (3 medals)
44,1924 Winter,,31,31,0,7,1,1,,2,9 athletes with 1 medal
45,1920 Summer,Hans Granfelt,260,247,13,18,19,20,25,64,Eric Backman (4 medals)
46,1912 Summer,Robert Olsson,444,421,23,16,24,24,17,65,Vilhelm Carlberg (5 medals)
47,1908 Summer,Erik Granfelt,168,165,3,14,8,6,11,25,Oscar Swahn (3 medals)
48,1906 Summer,Bruno Söderström,39,39,0,8,2,5,7,14,Eric Lemming (4 medals)
49,1900 Summer,,10,10,0,4,,,1,1,4 athletes with 1 medal
50,1896 Summer,,1,1,0,2,,,,,
