
Rk,Games,Flag Bearer,Participants,Men,Women,Sports,Gold,Silver,Bronze,Total,Top Medalist(s)
1,2012 Summer,Luke Hall,3,2,1,2,,,,,
2,2008 Summer,Temalangeni Dlamini,4,2,2,2,,,,,
3,2004 Summer,Gcinile Moyane,3,2,1,2,,,,,
4,2000 Summer,Musa Simelane,6,4,2,4,,,,,
5,1996 Summer,Daniel Sibandze,6,5,1,3,,,,,
6,1992 Summer,,6,6,0,2,,,,,
7,1992 Winter,Keith Fraser,1,1,0,1,,,,,
8,1988 Summer,Sizwe Sydney Mdluli,11,11,0,4,,,,,
9,1984 Summer,Lenford Dlamine,8,8,0,4,,,,,
10,1972 Summer,Richard Mabuza,2,2,0,2,,,,,
