
Rk,Games,Flag Bearer,Participants,Men,Women,Sports,Gold,Silver,Bronze,Total,Top Medalist(s)
1,2012 Summer,Majed Ghazal,10,6,4,7,,,,,
2,2008 Summer,Ahed Joughili,7,6,1,5,,,,,
3,2004 Summer,Mohammad Hazouri,6,5,1,5,,,1,1,Naser Al Shami (1 medal)
4,2000 Summer,Moutassem Ghotouq,8,6,2,4,,,,,
5,1996 Summer,Ghada Shouaa,7,6,1,5,1,,,1,Ghada Shouaa (1 medal)
6,1992 Summer,,8,7,1,4,,,,,
7,1988 Summer,Hafez El-Hussein,13,13,0,4,,,,,
8,1984 Summer,Joseph Atiyeh,9,9,0,5,,1,,1,Joseph Atiyeh (1 medal)
9,1980 Summer,,67,65,2,7,,,,,
10,1972 Summer,Mounzer Khatib,5,4,1,3,,,,,
11,1968 Summer,,2,2,0,1,,,,,
12,1948 Summer,,1,1,0,1,,,,,
