
Rk,Games,Flag Bearer,Participants,Men,Women,Sports,Gold,Silver,Bronze,Total,Top Medalist(s)
1,2012 Summer,Zakia Mrisho,6,4,2,3,,,,,
2,2008 Summer,Fabiano Joseph,9,7,2,2,,,,,
3,2004 Summer,Restituta Joseph,8,6,2,1,,,,,
4,2000 Summer,Restituta Joseph,4,3,1,1,,,,,
5,1996 Summer,Ikaji Salum,7,6,1,2,,,,,
6,1992 Summer,,9,9,0,2,,,,,
7,1988 Summer,Ikaji Salum,10,10,0,2,,,,,
8,1984 Summer,Michael Nassoro,18,16,2,2,,,,,
9,1980 Summer,,41,36,5,3,,2,,2,Filbert Bayi and Suleiman Nyambui (1 medal)
10,1972 Summer,Claver Kamanya,15,15,0,2,,,,,
11,1968 Summer,,4,4,0,2,,,,,
12,1964 Summer,,4,4,0,1,,,,,
