
Rk,Games,Flag Bearer,Participants,Men,Women,Sports,Gold,Silver,Bronze,Total,Top Medalist(s)
1,1992 Summer,Jozef Lohyňa,208,146,62,25,4,2,1,7,8 athletes with 1 medal
2,1992 Winter,Pavel Benc,74,55,19,10,,,3,3,27 athletes with 1 medal
3,1988 Summer,Imrich Bugár,163,110,53,17,3,3,2,8,Miloslav Mečíř (2 medals)
4,1988 Winter,Jiří Parma,59,49,10,9,,1,2,3,6 athletes with 1 medal
5,1984 Winter,Jiří Králík,50,38,12,8,,2,4,6,Květa Jeriová (2 medals)
6,1980 Summer,Vítězslav Mácha,209,162,47,21,2,3,9,14,51 athletes with 1 medal
7,1980 Winter,Bohuslav Ebermann,41,34,7,7,,,1,1,Květa Jeriová (1 medal)
8,1976 Summer,Ludvík Daněk,163,125,38,16,2,2,4,8,Jan Bártů (2 medals)
9,1976 Winter,Oldřich Machač,58,47,11,9,,1,,1,19 athletes with 1 medal
10,1972 Summer,Ludvík Daněk,181,145,36,17,2,4,2,8,Vladimír Petříček (2 medals)
11,1972 Winter,Jiří Raška,41,37,4,6,1,,2,3,20 athletes with 1 medal
12,1968 Summer,Bohumil Golian,121,94,27,14,7,2,4,13,Věra Čáslavská (6 medals)
13,1968 Winter,Jiří Raška,48,41,7,8,1,2,1,4,Jiří Raška (2 medals)
14,1964 Summer,Karel Klečka,104,95,9,13,5,6,3,14,Věra Čáslavská (4 medals)
15,1964 Winter,Josef Matouš,46,36,10,8,,,1,1,17 athletes with 1 medal
16,1960 Summer,Jiří Kormaník,116,99,17,13,3,2,3,8,Eva Bosáková-Věchtová (2 medals)
17,1960 Winter,Jano Starší,21,20,1,4,,1,,1,Karol Divín (1 medal)
18,1956 Summer,Zdeněk Růžička,63,51,12,10,1,4,1,6,Ladislav Fouček (2 medals)
19,1956 Winter,Václav Bubník,41,35,6,7,,,,,
20,1952 Summer,Vít Matlocha,99,86,13,11,7,3,3,13,Emil Zátopek (3 medals)
21,1952 Winter,Václav Bubník,22,22,0,3,,,,,
22,1948 Summer,Ladislav Trpkoš,87,73,14,11,6,2,3,11,Zdeněk Růžička and Emil Zátopek (2 medals)
23,1948 Winter,Vladimír Zábrodský,47,41,6,8,,1,,1,17 athletes with 1 medal
24,1936 Summer,Josef Klapuch,190,176,14,17,3,5,1,9,18 athletes with 1 medal
25,1936 Winter,,44,39,5,8,,,,,
26,1932 Summer,,25,24,1,4,1,3,2,6,6 athletes with 1 medal
27,1932 Winter,Antonín Bartoň,6,6,0,4,,,,,
28,1928 Summer,Josef Effenberger,70,69,1,14,2,5,2,9,Emanuel Löffler and Ladislav Vácha (3 medals)
29,1928 Winter,,25,24,1,5,,,1,1,Rudolf Burkert (1 medal)
30,1924 Summer,František Janda-Suk,133,129,4,16,1,4,5,10,Robert Pražák (3 medals)
31,1924 Winter,Jaroslav Řezáč,27,27,0,6,,,,,
32,1920 Summer,Václav Vohralík,119,118,1,13,,,2,2,10 athletes with 1 medal
