
Rk,Games,Flag Bearer,Participants,Men,Women,Sports,Gold,Silver,Bronze,Total,Top Medalist(s)
1,2014 Winter,Kanet Sucharitakul,2,1,1,1,,,,,
2,2012 Summer,Nuttapong Ged-In,37,19,18,15,,2,1,3,3 athletes with 1 medal
3,2008 Summer,Worapoj Petchkoom,47,22,25,12,2,2,,4,4 athletes with 1 medal
4,2006 Winter,Prawat Nagvajara,1,1,0,1,,,,,
5,2004 Summer,Paradorn Srichaphan,42,24,18,13,3,1,4,8,8 athletes with 1 medal
6,2002 Winter,Prawat Nagvajara,1,1,0,1,,,,,
7,2000 Summer,Somluck Kamsing,52,34,18,11,1,,2,3,3 athletes with 1 medal
8,1996 Summer,Vitsanu Sophanich,37,25,12,10,1,,1,2,Somluck Kamsing and Vichai Khadpo (1 medal)
9,1992 Summer,,46,23,23,9,,,1,1,Arkom Chenglai (1 medal)
10,1988 Summer,Somchai Chanthavanij,14,12,2,4,,,1,1,Phajol Moolsan (1 medal)
11,1984 Summer,Rangsit Yanothai,35,25,10,5,,1,,1,Thawee Umponmaha (1 medal)
12,1976 Summer,,42,39,3,11,,,1,1,Payao Poontarat (1 medal)
13,1972 Summer,Rangsit Yanothai,33,33,0,7,,,,,
14,1968 Summer,,41,41,0,6,,,,,
15,1964 Summer,,54,47,7,8,,,,,
16,1960 Summer,,20,20,0,4,,,,,
17,1956 Summer,,35,35,0,5,,,,,
18,1952 Summer,,8,8,0,1,,,,,
