
Rk,Games,Flag Bearer,Participants,Men,Women,Sports,Gold,Silver,Bronze,Total,Top Medalist(s)
1,2014 Winter,Mathilde Amivi Petitjean,2,0,2,2,,,,,
2,2012 Summer,Benjamin Boukpeti,6,4,2,5,,,,,
3,2008 Summer,Benjamin Boukpeti,4,3,1,4,,,1,1,Benjamin Boukpeti (1 medal)
4,2004 Summer,Jan Sekpona,3,2,1,2,,,,,
5,2000 Summer,Kouami Sacha Denanyoh,3,2,1,2,,,,,
6,1996 Summer,Téko Folligan,5,5,0,1,,,,,
7,1992 Summer,,6,6,0,2,,,,,
8,1988 Summer,Akossi Gnalo,6,6,0,2,,,,,
9,1984 Summer,Denou Koffi,6,6,0,2,,,,,
10,1972 Summer,Roger Kangni,7,7,0,3,,,,,
