
Rk,Games,Flag Bearer,Participants,Men,Women,Sports,Gold,Silver,Bronze,Total,Top Medalist(s)
1,2014 Winter,Sung Ching-Yang,3,3,0,3,,,,,
2,2012 Summer,Chen Shih-Chieh,44,19,25,14,,1,1,2,Hsu Shu-Ching and Tseng Li-Cheng (1 medal)
3,2010 Winter,Ma Chih-Hung,1,1,0,1,,,,,
4,2008 Summer,Lai Sheng-Jung,79,43,36,15,,,4,4,4 athletes with 1 medal
5,2006 Winter,Ma Chih-Hung,1,1,0,1,,,,,
6,2004 Summer,Chen Chih-Yuan,88,49,39,14,2,2,1,5,9 athletes with 1 medal
7,2002 Winter,Lin Chui-Bin,6,6,0,2,,,,,
8,2000 Summer,Chiang Peng-Lung,55,21,34,14,,1,4,5,5 athletes with 1 medal
9,1998 Winter,Sun Kuang-Ming,7,6,1,3,,,,,
10,1996 Summer,Tu Tsai-Hsing,74,32,42,14,,1,,1,Chen Jing (1 medal)
11,1994 Winter,Sun Kuang-Ming,2,2,0,1,,,,,
12,1992 Summer,Wang Kuang-Shih,31,23,8,7,,1,,1,20 athletes with 1 medal
13,1992 Winter,,8,8,0,3,,,,,
14,1988 Summer,Lee Fu-An,61,43,18,13,,,,,
15,1988 Winter,Chen Chin-San,13,11,2,4,,,,,
16,1984 Summer,Lee Fu-An,38,31,7,12,,,1,1,Tsai Wen-Yee (1 medal)
17,1984 Winter,,12,10,2,5,,,,,
18,1976 Winter,,6,6,0,4,,,,,
19,1972 Summer,Chi Cheng,21,15,6,10,,,,,
20,1972 Winter,,5,5,0,2,,,,,
21,1968 Summer,,43,35,8,8,,,1,1,Chi Cheng (1 medal)
22,1964 Summer,,40,37,3,7,,,,,
23,1960 Summer,,27,24,3,6,,1,,1,Yang C. K. (1 medal)
24,1956 Summer,,20,20,0,5,,,,,
