
Rk,Games,Flag Bearer,Participants,Men,Women,Sports,Gold,Silver,Bronze,Total,Top Medalist(s)
1,2012 Summer,Marc Burns,25,18,7,6,1,1,2,4,Lalonde Gordon (2 medals)
2,2008 Summer,George Bovell,28,17,11,4,,2,,2,Richard Thompson (2 medals)
3,2004 Summer,Ato Boldon,19,10,9,4,,,1,1,George Bovell (1 medal)
4,2002 Winter,Gregory Sun,3,3,0,1,,,,,
5,2000 Summer,Ato Boldon,19,14,5,3,,1,1,2,Ato Boldon (2 medals)
6,1998 Winter,Curtis Harry,2,2,0,1,,,,,
7,1996 Summer,Gene Samuel,12,8,4,6,,,2,2,Ato Boldon (2 medals)
8,1994 Winter,Gregory Sun,2,2,0,1,,,,,
9,1992 Summer,Alvin Daniel,7,7,0,2,,,,,
10,1988 Summer,Ian Morris,6,4,2,3,,,,,
11,1984 Summer,Hasely Crawford,16,11,5,5,,,,,
12,1980 Summer,Hasely Crawford,9,9,0,1,,,,,
13,1976 Summer,Hasely Crawford,13,13,0,3,1,,,1,Hasely Crawford (1 medal)
14,1972 Summer,Hasely Crawford,19,18,1,4,,,,,
15,1968 Summer,Roger Gibbon,19,19,0,5,,,,,
16,1964 Summer,Wendell Mottley,13,13,0,4,,1,2,3,Wendell Mottley and Edwin Roberts (2 medals)
17,1956 Summer,Mike Agostini,6,6,0,3,,,,,
18,1952 Summer,Rodney Wilkes,2,2,0,1,,,2,2,Lennox Kilgour and Rodney Wilkes (1 medal)
19,1948 Summer,Wilfred Tull,5,5,0,3,,1,,1,Rodney Wilkes (1 medal)
