
Rk,Games,Flag Bearer,Participants,Men,Women,Sports,Gold,Silver,Bronze,Total,Top Medalist(s)
1,2012 Summer,Haikel Meguennem,83,63,20,17,1,1,1,3,Oussama Mellouli (2 medals)
2,2008 Summer,Anis Chedli,26,14,12,10,1,,,1,Oussama Mellouli (1 medal)
3,2004 Summer,Noureddine Hfaiedh,54,44,10,14,,,,,
4,2000 Summer,Omrane Ayari,47,40,7,10,,,,,
5,1996 Summer,Skander Hachicha,51,45,6,9,,,1,1,Fathi Missaoui (1 medal)
6,1992 Summer,,13,11,2,7,,,,,
7,1988 Summer,Sofiane Ben Letaief,41,39,2,6,,,,,
8,1984 Summer,Fethi Baccouche,23,22,1,6,,,,,
9,1976 Summer,,15,14,1,3,,,,,
10,1972 Summer,Salem Boughattas,35,35,0,5,,1,,1,Mohamad Gammoudi (1 medal)
11,1968 Summer,,7,7,0,2,1,,1,2,Mohamad Gammoudi (2 medals)
12,1964 Summer,,9,9,0,3,,1,1,2,Habib Galhia and Mohamad Gammoudi (1 medal)
13,1960 Summer,,42,42,0,7,,,,,
