
Rk,Games,Flag Bearer,Participants,Men,Women,Sports,Gold,Silver,Bronze,Total,Top Medalist(s)
1,2014 Winter,Alper Uçar,6,3,3,3,,,,,
2,2012 Summer,Neslihan Darnel,112,48,64,16,2,2,1,5,5 athletes with 1 medal
3,2010 Winter,Kelime Aydın-Çetinkaya,5,2,3,3,,,,,
4,2008 Summer,Mehmet Özal,67,48,19,12,1,4,3,8,Elvan Abeylegesse (2 medals)
5,2006 Winter,Tuğba Karademir,6,3,3,3,,,,,
6,2004 Summer,Ali Enver Adakan,64,44,20,10,3,3,5,11,11 athletes with 1 medal
7,2002 Winter,Atakan Alaftargil,3,2,1,2,,,,,
8,2000 Summer,Hamza Yerlikaya,57,42,15,10,3,,2,5,5 athletes with 1 medal
9,1998 Winter,Arif Alaftargil,1,1,0,1,,,,,
10,1996 Summer,Derya Büyükuncu,53,44,9,9,4,1,1,6,6 athletes with 1 medal
11,1994 Winter,Mithat Yıldırım,1,1,0,1,,,,,
12,1992 Summer,Kerem Ersü,41,36,5,10,2,2,2,6,6 athletes with 1 medal
13,1992 Winter,,8,8,0,2,,,,,
14,1988 Summer,,41,36,5,9,1,1,,2,Naim Süleymanoğlu and Necmi Gençalp (1 medal)
15,1988 Winter,Abdullah Yılmaz,8,8,0,2,,,,,
16,1984 Summer,Mehmet Yurdadön,46,45,1,10,,,3,3,3 athletes with 1 medal
17,1984 Winter,,7,7,0,2,,,,,
18,1976 Summer,,27,26,1,8,,,,,
19,1976 Winter,,9,9,0,2,,,,,
20,1972 Summer,Gıyasettin Yılmaz,43,42,1,8,,1,,1,Vehbi Akdağ (1 medal)
21,1968 Summer,Gürbüz Lü,29,29,0,4,2,,,2,Mahmut Atalay and Ahmet Ayık (1 medal)
22,1968 Winter,,11,11,0,2,,,,,
23,1964 Summer,Çetin Şahiner,23,23,0,4,2,3,1,6,6 athletes with 1 medal
24,1964 Winter,,5,5,0,1,,,,,
25,1960 Summer,Nuri Turan,49,46,3,6,7,2,,9,9 athletes with 1 medal
26,1960 Winter,,2,2,0,1,,,,,
27,1956 Summer,Hamit Kaplan,13,13,0,1,3,2,2,7,7 athletes with 1 medal
28,1956 Winter,,4,4,0,1,,,,,
29,1956 Equestrian,,6,6,0,1,,,,,
30,1952 Summer,,51,51,0,4,2,,1,3,3 athletes with 1 medal
31,1948 Summer,,58,57,1,7,6,4,2,12,12 athletes with 1 medal
32,1948 Winter,,4,4,0,1,,,,,
33,1936 Summer,Saim Polatkan,48,46,2,7,1,,1,2,Yaşar Erkan and Ahmet Kireççi (1 medal)
34,1936 Winter,Mehmut Şevket Karman,6,6,0,2,,,,,
35,1932 Summer,,1,1,0,1,,,,,
36,1928 Summer,,31,31,0,6,,,,,
37,1924 Summer,,22,22,0,5,,,,,
38,1912 Summer,,2,2,0,1,,,,,
39,1906 Summer,,1,1,0,1,,,,,
