
Rk,Games,Flag Bearer,Participants,Men,Women,Sports,Gold,Silver,Bronze,Total,Top Medalist(s)
1,2012 Summer,Ganzi Mugula,15,11,4,4,1,,,1,Stephen Kiprotich (1 medal)
2,2008 Summer,Ronald Serugo,11,9,2,4,,,,,
3,2004 Summer,Joseph Lubega,11,9,2,4,,,,,
4,2000 Summer,Sunday Kizito,13,9,3,5,,,,,
5,1996 Summer,Moosaka,10,7,2,4,,,1,1,Davis Kamoga (1 medal)
6,1992 Summer,Fred Muteweta,8,6,1,3,,,,,
7,1988 Summer,Patrick Lihanda,24,20,4,3,,,,,
8,1984 Summer,Ruth Kyalisima,26,24,2,5,,,,,
9,1980 Summer,,13,13,0,2,,1,,1,John Mugabi (1 medal)
10,1972 Summer,John Akii-Bua,33,31,2,3,1,1,,2,Leo Rwabwogo and John Akii-Bua (1 medal)
11,1968 Summer,,11,11,0,2,,1,1,2,Eridadi Mukwanga and Leo Rwabwogo (1 medal)
12,1964 Summer,,13,11,2,2,,,,,
13,1960 Summer,,10,10,0,2,,,,,
14,1956 Summer,,3,3,0,1,,,,,
