
Rk,Games,Flag Bearer,Participants,Men,Women,Sports,Gold,Silver,Bronze,Total,Top Medalist(s)
1,2014 Winter,Valentyna Shevchenko,42,19,23,9,1,,1,2,Vita Semerenko (2 medals)
2,2012 Summer,Roman Hontiuk,230,119,111,25,6,5,9,20,Inna Osypenko-Radomska and Olena Kostevych (2 medals)
3,2010 Winter,Liliya Ludan,45,24,21,9,,,,,
4,2008 Summer,Yana Klochkova,243,127,116,24,7,5,15,27,31 athletes with 1 medal
5,2006 Winter,Nataliya Yakushenko,52,30,22,9,,,2,2,3 athletes with 1 medal
6,2004 Summer,Denys Sylantiev,239,124,115,23,8,5,9,22,Yana Klochkova (2 medals)
7,2002 Winter,Olena Petrova,68,46,22,11,,,,,
8,2000 Summer,Yevhen Braslavets,230,139,91,23,3,10,10,23,Yana Klochkova (3 medals)
9,1998 Winter,Andriy Deryzemlia,56,30,26,10,,1,,1,Olena Petrova (1 medal)
10,1996 Summer,Sergey Bubka,231,146,85,21,9,2,12,23,Liliya Podkopaieva (3 medals)
11,1994 Winter,Viktor Petrenko,37,20,17,10,1,,1,2,Oksana Baiul and Valentyna Tserbe-Nessina (1 medal)
